ID,"Organisation, programme, camp or structure",Category,Type,Federal affiliation / subordination,Territory,Territory tags,Locality,Address,Founded / first recorded in the territory,Legal registration status,Source of funding,Activity,Estimated participants (with source),Evidence sources,Confidence,Confidence note,Notes / cross-tags
35,Luhansk Character educational programme / «Луганский характер»,Curriculum programme,Curriculum programme,"Order of the ""head of the LNR"" L. Pasechnik; delivered through Movement of the First detachments",Luhansk oblast,Luhansk oblast,All schools in the LNR,Not applicable,2024 (launched),Regional school programme,Budget of the LNR occupation administration,"Tiered structure (primary school ""September Eaglets"", middle school ""Pioneers"", senior school ""Toilers"") layered onto Yunarmiya, Znanie and the Movement of the First","About 3,500 detachments (according to the ""LNR minister of education"" I. Kusov)","Centre for the Study of Occupation monitoring, Luhansk oblast, August to October 2025",Likely,Source is internal monitoring,"Type: curriculum programme; Pasechnik calls it ""know-how"" and plans to scale it up."
36,"Rubikon military field camps and the People's Militia (Narodnaya Druzhina), Donetsk oblast / «Рубикон» и «Народная дружина»","Club, cadet corps or camp inside the territory",One-off military field camps,People's Militia (paramilitary formation),Donetsk oblast,Donetsk oblast,Not established,Not applicable,October 2025 (five-day camp),Not established,Not established,"Weapons handling, tactics, combat medicine, drone piloting; instructors described by propaganda as former Ukrainian servicemen",Not stated,"Centre for the Study of Occupation monitoring, Donetsk oblast, October 2025",Needs verification,"One-off event, recorded as an activity of the People's Militia rather than a separate organisation",Example of a one-off event; the People's Militia itself is to be assessed separately against the recurring-presence criterion.
37,"Komsomol (revived), Mariupol / «Комсомол»",Youth movement or federal structure,Soviet-style youth movement,Local occupation administration,Donetsk oblast,Donetsk oblast,Mariupol (Pryazovskyi State Technical University),Not applicable,7 August 2023,Not established,Not established,"Clean-ups, painting monuments, raising the red flag, the ""Return Lenin to Mariupol"" campaign (June 2025)",Not stated,"Centre for the Study of Occupation monitoring, Mariupol, June 2025",Likely,Source is internal monitoring,"Head O. Makhankov; assessed as co-opting ""marginalised far-left adolescents""; a youth ideological structure rather than a paramilitary training centre."
38,"Espanola, Mariupol / «Эспаньола»",Adult formation recruiting youth,Adult paramilitary formation (focus on youth recruitment),Originates from an association of Russian football ultras,Donetsk oblast,Donetsk oblast,Mariupol,Not applicable,Not established,Not established,Not established,Recruitment of marginalised young people into the formation,Not stated,"Centre for the Study of Occupation monitoring, Mariupol, June 2025",Needs verification,,Differs in type from other entries: an adult armed formation included for its role in drawing in young people; to be marked separately from youth organisations proper.
39,"Boevoe Bratstvo volunteer company, Mariupol / Добровольческая рота «Боевого братства»",Veterans' organisation,Youth-volunteer wing of a veterans' organisation,All-Russian veterans' organisation Boevoe Bratstvo; works in tandem with the Young Guard of United Russia,Donetsk oblast,Donetsk oblast,Mariupol,Not applicable,May 2022,Company attached to the regional branch of Boevoe Bratstvo,Not established,"Searching for missing persons, distributing aid, camps, memorial events",Rotations of 20 to 100 people,"Centre for the Study of Occupation monitoring, Mariupol, June 2025",Confirmed,"Structural, recurring presence",Leaders A. Demydov (MGER) and S. Kuzmenko; curator D. Sablin (GRU); an example of structural rather than one-off involvement by a veterans' organisation (see the rule on veterans' organisations).
40,"Krasnaya Gvozdika (""Red Carnation"") camp, Zaporizhzhia oblast / Лагерь «Красная гвоздика»","Club, cadet corps or camp inside the territory",Children's camp (inside the territory; militarisation),Not established,Zaporizhzhia oblast,Zaporizhzhia oblast,Not established,Not applicable,Operating since at least 2024,Not established,Not established,Not detailed; assessed as indoctrination of children in place without removal to Russia,"About 1,500 children in 2025 (double the previous year)","TOT Insights, Education and Militarisation analytical brief, 2026",Likely,,No cross-tag: the camp operates inside the occupied territory and the child does not leave it (see the rule on camps).
41,"Youth Golden Fund, Berdiansk / «Молодежный золотой фонд»",Youth movement or federal structure,Network and grant programme for youth activists,Not established,Zaporizhzhia oblast,Zaporizhzhia oblast,Berdiansk,Not applicable,Activity recorded as of 30 June 2026,Grant programme,Grant support (over 4.3 million roubles),"Building a pro-Russian cadre of youth leaders for ""electoral"", volunteer and campaigning events; linked to ""tactical medicine and search detachments""",53 activists (recorded 30 June 2026),"Centre for the Study of Occupation monitoring, Zaporizhzhia oblast, June 2026",Likely,Source is internal monitoring,Prepares young people for work with combat trauma and casualty evacuation.
42,"Russian Orthodox Church paramilitary youth clubs (Orthodox Knights, Keepers of the Faith, Patriot and others)","Club, cadet corps or camp inside the territory",Network of religiously affiliated military-patriotic clubs,Russian Orthodox Church,All six occupied territories,Crimea; Sevastopol; Donetsk oblast; Luhansk oblast; Zaporizhzhia oblast; Kherson oblast,Network (at least 150 clubs and camps),Not applicable,Not established,Clubs and camps affiliated with the Russian Orthodox Church,Church and grant funding (not detailed),"Tactical training, shooting and weapons handling combined with an ideology of ""service to Russia""; the Brotherhood of Orthodox Pathfinders runs ""Cadet Corps"" camps (fortification, medicine; priests teach disassembly of the AK-74)","At least 150 clubs and camps; about 25,000 minors a year","TOT Insights, The Voin Generation (2026), citing Eastern Human Rights Group / ISRS data, September to October 2025",Likely,Aggregated estimate for a network,"The Church has also published the brochure ""To Live Is to Serve the Motherland"" and runs the Spas centre (Tambov) and Predtechenskiy Gorodok (Rostov)."
43,"Cossack youth paramilitary structures of Crimea (School of Young Atamans, Crimean Cossack Kurin, Crimean District Cossack Society, Bulat centre, Union of Paratroopers of Crimea)","Club, cadet corps or camp inside the territory",Network of Cossack paramilitary structures,Black Sea Cossack Host / state budgetary institution Cossacks of Crimea,Crimea,Crimea,"Crimean Federal University (Simferopol), Bilohirka village, Krasnoperekopsk",Not applicable,"Crimean Cossack Kurin, 2004; others not established",Network of Cossack societies,Not established,"Drill, shooting, sabre handling, tactical medicine, the game ""Cossack Alarm""; a range and trenches at the Bulat centre",290 to 500 children per session (School of Young Atamans),"""Universal Soldier"" and monitoring reports of the Almenda centre, 2022 to 2025; Ukrainian Helsinki Human Rights Union / USAID, 2020",Likely,Aggregated estimate for a network,Head of the School of Young Atamans: V. Motuzko.
44,"Other military-patriotic clubs and field camps in Crimea and the south (Crimea Tactics, Gornyi camp, Selet-Ak Bars, Crimean Frontier camp, Preobrazhenskyi centre, ROKOT, Red Eagle, SKIL, DOSAAF Yalta / Arkhangel)","Club, cadet corps or camp inside the territory",Network of clubs and field camps (inside the territory),Not established,Crimea,Crimea; Sevastopol,"Simferopol, Sevastopol, Foros, Mykolaivka, Yalta",Not applicable,Not established,Network of separate clubs and camps,Not established,"The programmes ""Mountain Rifleman"" and ""Young Warrior"" and the game ""Shield and Sword"" (shooting, tactics, drones); firearms, medical, engineering and CBRN training (Foros); training of drone operators, Arkhangel (Yalta)",Crimean Frontier camp: over 600 children,"""Universal Soldier"" and monitoring reports, including July to September 2025",Likely,Aggregated estimate for a network,Instructors at Foros are the Heroes of Russia D. Polkovnikov and V. Nedobezhkin (see entry 5).
45,"Amazonki club, Horlivka / ВПК «Амазонки»","Club, cadet corps or camp inside the territory","Predominantly female military-sports club (historical, 2014 to 2019)",Member of the Yunarmiya movement,Donetsk oblast,Donetsk oblast,Horlivka,Not applicable,From the first years of the occupation of Donbas (2014 to 2015),Not established,Not established,Sniper training; participation in competitions in Moscow oblast,Not stated,"Barbieri, Ethnopolitics 23(5), 2024, pp. 519 to 520",Confirmed,,"Historical record, to 2019."
46,"Vityaz club, Donetsk / ВПК «Витязь»","Club, cadet corps or camp inside the territory",Predominantly female military-patriotic club (historical),Member of the Yunarmiya movement,Donetsk oblast,Donetsk oblast,Donetsk,Not applicable,2014 to 2019,Not established,Not established,"Annual competitions at a military ""college""; winners sent to a Russian ""patriotic"" camp; some members joined the ""DNR"" armed forces",Not stated,"Barbieri, Ethnopolitics 23(5), 2024, pp. 519 to 520",Confirmed,,Head coach a former Russian officer and Afghanistan veteran.
47,"Dobrovolets club, LNR / ВПК «Доброволец»","Club, cadet corps or camp inside the territory",Military-patriotic club (historical),Not established,Luhansk oblast,Luhansk oblast,Not established,Not applicable,2014 to 2019,Not established,Not established,"The commander openly stated that the club trained recruits for the ""republic's"" security apparatus",Not stated,"Barbieri, Ethnopolitics 23(5), 2024, p. 519",Confirmed,,
48,"Berkut and Russkiy Medved clubs, Dokuchaievsk / ВПК «Беркут» и «Русский медведь»","Club, cadet corps or camp inside the territory",Military-patriotic clubs (historical),"Received ""patriotism lessons"" from the ""DNR ministry of information""",Donetsk oblast,Donetsk oblast,Dokuchaievsk,Not applicable,2014 to 2019,Not established,Not established,Master classes for schoolchildren in assembling and disassembling Kalashnikov rifles and hand-to-hand combat,Not stated,"Barbieri, Ethnopolitics 23(5), 2024, pp. 521 to 522; Ukrainian Helsinki Human Rights Union / USAID, 2020, pp. 44 to 50",Confirmed,,"The number of military-patriotic clubs in the ""DNR"" tripled between 2014 and 2019, to 62."
49,O. Grishin Association of Military-Patriotic Clubs / Patriotic Forces of Donbas,"Club, cadet corps or camp inside the territory",Umbrella structure (historical),"Initiated by O. Khodakovsky (commander of Vostok, former commander of the SBU's Crimean Alpha unit, former ""DNR minister of state security"")",Donetsk oblast,Donetsk oblast,Not established,Not applicable,February 2016,Not established,Not established,"Preparing young people for entry to the military ""colleges"" of the ""DNR"" and ""LNR""",Not stated,"Barbieri, Ethnopolitics 23(5), 2024, p. 520",Confirmed,,"Patriotic Forces of Donbas was later merged into the regular armed formations of the ""DNR""."
50,"Vympel camp, DNR / Табір «Вымпел»","Club, cadet corps or camp inside the territory","Children's and youth military camp (historical, inside the territory)",Vostok battalion,Donetsk oblast,Donetsk oblast,Not established,Not applicable,July 2015,Not established,Not established,"Military and medical training, survival skills, weapons assembly; vehicle training by fighters of the Oplot battalion","Children aged 10 to 17 from various ""DNR"" clubs","Barbieri, Ethnopolitics 23(5), 2024, p. 520",Confirmed,,"Oplot's commander was O. Zakharchenko, later ""head of the DNR""."
51,"Lesnye Prostory camp, LNR / Табір «Лесные просторы»","Club, cadet corps or camp inside the territory","Children's and youth military camp (historical, inside the territory)",Vernoe Kazachestvo / Patriotic Association of Donbas,Luhansk oblast,Luhansk oblast,Not established,Not applicable,2016,Not established,Not established,"Annual ""St George"" military-patriotic rally; recruitment by officers of the ""LNR interior ministry"" for service in the security structures",Not stated,"Barbieri, Ethnopolitics 23(5), 2024, pp. 520 to 521",Confirmed,,"Became the model for other ""LNR"" camps."
52,"Vernoe Kazachestvo and the Patriotic Association of Donbas, LNR / «Верное казачество» и «Патриотическая ассоциация Донбасса»","Club, cadet corps or camp inside the territory",Cossack organisation / inter-agency project (historical),"""Ministries"" of internal affairs, emergencies and education of the ""LNR""",Luhansk oblast,Luhansk oblast,Not established,Not applicable,2004 (founding of Vernoe Kazachestvo),Not established,Not established,"Running the ""St George rally"" at the Lesnye Prostory camp",Not stated,"Barbieri, Ethnopolitics 23(5), 2024, p. 521",Confirmed,,Ataman: O. Selivanov.
53,"A. Zakharchenko Cadet Corps, Donetsk School No. 4 / Кадетский корпус им. А. Захарченко","Club, cadet corps or camp inside the territory",Cadet corps (school; historical with current status),"Personal initiative of O. Zakharchenko (first ""DNR"" leader)",Donetsk oblast,Donetsk oblast,Donetsk,Not applicable,2017,"""School No. 4, A. Zakharchenko Cadet Corps""",Not established,"Weapons handling and elements of hand-to-hand combat from year 4 (in military uniform); meetings with veterans, participation in ""Victory parades"" (Moscow, Volgograd)","About 200 children (as of 2024, including first-year pupils)","Freedom House / ZMINA / Regional Centre for Human Rights / Viasna / BELPOL, ""Stolen Childhood"", October 2024, section 2.4 (pp. 17 to 19)",Confirmed,,"In September 2022, 52 cadets aged 8 to 13 were taken to the Dubrava camp in Belarus. Cross-tag: Accountability and Legal (transfer of children)."
54,"Night Wolves, Luhansk chapter / Луганский осередок «Ночные волки»","Club, cadet corps or camp inside the territory",Motorcycle club / paramilitary formation (historical with current status),"Registered as ""LNR people's militia"" under the ""interior ministry""",Luhansk oblast,Luhansk oblast,Luhansk,Not applicable,Chapter registered; museum opened 2016,"""LNR people's militia""",Not established,"Mandate for patriotic education; a ""war museum"" for ""cultivating the military-patriotic spirit of youth""",Not stated,"Barbieri, Ethnopolitics 23(5), 2024, p. 522",Confirmed,,The club is personally linked to Putin.
55,"Artek International Children's Centre, Hurzuf / «Артек»",Camp or centre moving children out of their territory,State children's centre (removal outside the territory of origin),Overseen by Russian deputy prime minister D. Chernyshenko,Crimea,Crimea; Donetsk oblast; Luhansk oblast; Zaporizhzhia oblast; Kherson oblast,Hurzuf,Not applicable,Not established (capacity being expanded),State children's centre,Russian state budget,Indoctrination and Russification of local youth and of young people brought from other occupied territories,Not stated,https://www.radiosvoboda.org/a/news-zelensky-sanktsii-artek/33439180.html,Confirmed,,"Cross-tag: Accountability and Legal (the child leaves the territory of origin); Ukrainian presidential sanctions, 10 June 2025."
56,"Luchistyi and Druzhba camps, Yevpatoria / Табори «Лучистый» і «Дружба»",Camp or centre moving children out of their territory,"Children's ""health"" camps (removal of children from other occupied oblasts)",Not established,Crimea (receiving); Kherson oblast (origin of the children),Crimea; Kherson oblast,Yevpatoria,Not applicable,Transfer documented 6 to 7 October 2022,Not established,Not established,"Holding children, confiscating phones and cutting contact with families for ""bad behaviour"" or refusing to sing the Russian anthem; isolation (""punishment cell"") of adolescents with pro-Ukrainian views","Druzhba: about 100 ""cadets""","Ukrainian Helsinki Human Rights Union / USAID, ""Return of Deported Ukrainian Children by Their Parents"", 2023, p. 24; Save Ukraine / War Child UK, ""Return Every Child"", 2025, pp. 24 to 25",Confirmed,,Cross-tag: Accountability and Legal (forced inter-oblast transfer of children within the occupied territories with the features of a deportation mechanism).
57,"Russian Special Forces University, Gudermes, Chechnya, and the ""Teenagers of Russia"" programme",Camp or centre moving children out of their territory,Federal re-education centre (removal to Russia),"Decision of M. Lvova-Belova (Russian children's rights commissioner) and R. Kadyrov; curator ""minister"" A. Dudayev",Donetsk and Luhansk oblasts (origin of the children); Chechnya (receiving),Donetsk oblast; Luhansk oblast,Gudermes; Gornyi Klyuch camp (Grozny),Not applicable,"Not established (late 2022, the ""Forces of the Caucasus"" project)",Federal programme,State budget,"""Military-patriotic education"": tours of the training ground, lectures on ""heroes of Rosgvardia"", weapons-handling training","Stated aim of expanding to 1,000 adolescents; about 200 adolescents (""Forces of the Caucasus"" project, late 2022)","ZMINA, ""Forced Transfer and Deportation to Russia of Children from the Occupied Territories of Ukraine"", April 2023, p. 20; National Council of Ukraine on Television and Radio Broadcasting, analytical report 2023, pp. 23 and 28 to 29",Confirmed,,Cross-tag: Accountability and Legal (the child leaves the territory).
58,"Smena centre, Krasnodar krai / Центр «Смена»",Camp or centre moving children out of their territory,State children's centre (removal to Russia),Russian Ministry of Education,Four occupied oblasts (origin of the children),Donetsk oblast; Luhansk oblast; Zaporizhzhia oblast; Kherson oblast,Not applicable,Not applicable,Not established,State children's centre,State budget,"Building drones, mine detectors and magazine-loading devices for rifles; firearms training, tactical medicine, parachute training (for children from Donetsk oblast)",Over 300 children (Yale HRL),"Yale School of Public Health, Humanitarian Research Lab, report of 16 September 2025",Confirmed,,Cross-tag: Accountability and Legal (the child leaves the territory); part of the network of 210 facilities identified by Yale HRL.
59,"""Children of Donbas"" initiative, Snegiri, Moscow oblast / «Дети Донбасса»",Camp or centre moving children out of their territory,Programme for removing children to Russia,"Linked to the Russian State Duma; initiators L. Kalashnikov, G. Zyuganov, I. Kobzon",Donetsk and Luhansk oblasts (origin of the children),Donetsk oblast; Luhansk oblast,Snegiri (Moscow oblast),Not applicable,From 2015,Not established,Not established,"""Rest from shelling"" and integration of children at a holiday home","About 16,000 children since 2015 (according to the organisers)","National Council of Ukraine on Television and Radio Broadcasting, analytical report 2023, pp. 12 to 13",Confirmed,,Cross-tag: Accountability and Legal (the child leaves the territory); the initiators are sanctioned for this activity.
60,"Sirius educational centre, Sochi / «Сириус»",Camp or centre moving children out of their territory,Federal educational centre (removal to Russia),Office of the Russian children's rights commissioner,Donetsk oblast (origin of the children),Donetsk oblast,Sochi,Not applicable,Not established,State educational centre,State budget,"""Integration sessions"" under the guise of ""career guidance and moral support""; in practice re-education and adaptation ""to life in a new country""",Not stated,"National Council of Ukraine on Television and Radio Broadcasting, analytical report 2023, p. 23",Likely,,Cross-tag: Accountability and Legal (the child leaves the territory).
61,Cadet and Cossack classes and corps in the occupied territories (network),Curriculum programme,Curriculum programme / school structure,"Patrons: Rosgvardia, FSB, Russian Investigative Committee, Emergencies Ministry, Interior Ministry, sometimes the Ministry of Defence; Cossack classes under the Crimean Cossack District",All six occupied territories,Crimea; Sevastopol; Donetsk oblast; Luhansk oblast; Zaporizhzhia oblast; Kherson oblast,"Crimea (109 rising to 244 classes in 78 schools), LNR (86 cadet and 62 Cossack classes), Zaporizhzhia oblast (11 to 13), Kherson oblast (8 to 9), Mariupol (School No. 28), Luhansk (Luhansk Cossack Cadet Corps)",Not applicable,"Crimea, from 2015",Network of school classes and corps within general education institutions,"State budget and departmental funding (Rosgvardia, Investigative Committee, Emergencies Ministry, Interior Ministry)","Drill, hand-to-hand combat, weapons handling and shooting within the school curriculum; apex institutions are the Crimean Cadet Corps (53% of graduates go on to the universities of Russia's security ministries), the Mariupol branch of the Nakhimov Naval School (560 places) and the Sevastopol Presidential Cadet School",Crimea: 244 classes in 78 schools (2023/24),"Crimean Human Rights House / Crimean Human Rights Group / Regional Centre for Human Rights / Almenda / ZMINA, 2021, pp. 63 to 65; Crimean Human Rights Group, 12 June 2020, https://crimeahrg.org/uk/rosijske-kadetstvo-zamist-krimskogo-ditinstva/; Save Ukraine / War Child UK, 2025",Confirmed,,Type: curriculum programme or structure; no membership or premises outside the school network.
62,"""Anti-terror schools"", Mariupol Schools No. 14 and No. 59 / «Школы антитеррора»",Curriculum programme,Curriculum programme,Civil defence corps of Moscow oblast,Donetsk oblast,Donetsk oblast,Mariupol,Not applicable,Not established,School programme,Not established,"Shaping a perception of Ukrainians as a ""terrorist threat"", building barricades; standing ""rescue detachments"" as institutionalised children's paramilitary groups",Not stated,"TOT Insights, Education and Militarisation analytical brief, section 2.4",Needs verification,Limited source,Type: curriculum programme.
63,"OBZR, ""Fundamentals of Security and Defence of the Motherland"" (school subject) / ОБЗР",Curriculum programme,Curriculum programme,Russian Ministry of Education,All six occupied territories,Crimea; Sevastopol; Donetsk oblast; Luhansk oblast; Zaporizhzhia oblast; Kherson oblast,All schools in the occupied territories,Not applicable,"Updated programme approved January 2026; a separate pre-conscription training programme in Crimea, November 2022",Compulsory school subject,State budget (Russian Ministry of Education),Building and piloting drones (about 90 units of equipment); compulsory field camps for years 8 and 10 at military training grounds,Not stated (covers all pupils in the relevant years),"Russian Ministry of Education programme document on basic military training for years 10 to 11; TOT Insights, Education and Militarisation analytical brief, section 2.4; TOT Insights, The Voin Generation (2026), section II",Confirmed,,"Type: curriculum programme; replaced and expanded the former ""Fundamentals of Life Safety""."
64,Zarnitsa 2.0 military-sports game / «Зарница 2.0»,Curriculum programme,Curriculum and extracurricular activity programme,Movement of the First jointly with Yunarmiya and the Voin centre; family format with the Defenders of the Fatherland foundation,All six occupied territories,Crimea; Sevastopol; Donetsk oblast; Luhansk oblast; Zaporizhzhia oblast; Kherson oblast,"Mariupol, Zaporizhzhia oblast, Kherson oblast and elsewhere",Not applicable,"Not established (timed to the ""anniversary of the liberation of Donbas"")",Organised programme and event,State budget (through the organisers),"Garrison duty, tactical exercises, mastering specialisms (medic, sapper, drone operator, war correspondent); disciplines include rifle disassembly, air-rifle shooting, drone piloting, drill and firearms training","Mariupol: over 2,600 children (first half of 2025); Zaporizhzhia oblast: over 2,000 planned","Centre for the Study of Occupation monitoring, Mariupol and Luhansk oblast, 2025, and Mariupol, June 2026",Likely,Source is internal monitoring,The Vulkan-7 team (Kherson region) reached the final in Volgograd oblast; type: curriculum and extracurricular programme.
65,"Yunarmiya House, drone and tactical-medicine training, Mariupol School No. 26, and the Berloga programme / «Дом Юнармии» + «Берлога»",Curriculum programme,School-based structure and curriculum programme,Yunarmiya; the Berloga programme is approved by Putin,Donetsk oblast (Mariupol); drone training across the occupied territories,Donetsk oblast; Kherson oblast,Mariupol (Prymorskyi district); Kherson (drone racing),Not applicable (based at School No. 26),Not established (grant of 1.2 million roubles in 2025),Structure based at a general school,"Regional grant (1.2 million roubles, 2025) plus state budget","Shooting, knife throwing, sapper work, weapons assembly and disassembly, drone piloting (FPV drones: aerodynamics, modelling, piloting); tactical medicine as a school subject","About 10,000 adolescents involved in practical drone-operator training programmes","Centre for the Study of Occupation monitoring, Mariupol, June 2026, section 11; TOT Insights, The Voin Generation (2026), sections II and V",Likely,Source is internal monitoring,"Berloga is integrated into Zarnitsa and the Movement of the First (""Pilots of the Future"" competition); separate classes for children with disabilities."
66,"Ideological lessons: ""Conversations about What Matters"", ""Lessons of Courage"", ""Hero's Desk"", ""Spiritual and Moral Culture of Russia""",Curriculum programme,Curriculum programme,Russian Ministry of Education; the subject was developed with the participation of Metropolitan Tikhon Shevkunov,All six occupied territories,Crimea; Sevastopol; Donetsk oblast; Luhansk oblast; Zaporizhzhia oblast; Kherson oblast,"All schools and, from October 2024, kindergartens in the occupied territories",Not applicable,"September 2022 (launch of ""Conversations about What Matters""); October 2024 (extended to kindergartens from age 5); 2025/26 school year, an ""adviser on upbringing"" post in every school in occupied Kherson oblast",Compulsory extracurricular and school programme,State budget,"Justifying the war, portraying Russia as a ""peacemaker"" and Ukrainian resistance as ""Nazism""; ""lessons of courage"" with invited veterans; war museums and ""Hero's Desks"" in schools; ""Alleys of Glory"" with busts of killed occupation soldiers",Not stated (covers all pupils in the occupied territories),"Centre for the Study of Occupation monitoring, Donetsk and Luhansk oblasts and Mariupol, 2025 to 2026; National Council of Ukraine on Television and Radio Broadcasting, analytical report 2023",Confirmed,,Type: curriculum programme; the widest coverage of any entry in the dataset (all schoolchildren in the occupied territories).
