"Official_ID","Name","Name_Cyrillic","Territory","Role","Level","Location","Year_Start","Year_End","Status","Origin"
"OFC-320","Prokofyev Anton Olegovich","Прокофьев Антон Олегович","Zaporizhzhia Oblast","Acting Minister of Property and Land Relations of Zaporizhzhia Oblast","Regional","Melitopol","2025","","Yes","Likely from Crimea (registered tax number there)"
"OFC-321","Zavadich Vasily Nikolaevich","Завадич Василий Николаевич","Zaporizhzhia Oblast","Acting Minister of Construction, Architecture and Housing of Zaporizhzhia Oblast","Regional","Melitopol","2025","","Yes","Likely Moscow oblast (location of tax account registration)"
"OFC-322","Tkachenko Alexander Nikolaevich","Ткаченко Александр Николаевич","Zaporizhzhia Oblast","Acting Minister of Economic Development of Zaporizhzhia Oblast","Regional","Melitopol","2025","","Yes","From Crimea"
"OFC-323","Vankov Dmitry Vitalyevich","Ваньков Дмитрий Витальевич","Zaporizhzhia Oblast","Minister of Healthcare of Zaporizhzhia Oblast","Regional","Melitopol","2025","","Yes","From Vologda Oblast, Russia"
"OFC-324","Nazina Svetlana Gennadyevna","Назина Светлана Геннадьевна","Zaporizhzhia Oblast","Minister of Culture of Zaporizhzhia Oblast","Regional","Melitopol","2025","","Yes","Likely from Krasnodar Krai (tax account registration)"
"OFC-325","Logunov Egor Andreyevich","Логунов Егор Андреевич","Zaporizhzhia Oblast","Minister of Youth Policy of Zaporizhzhia Oblast","Regional","Melitopol","2025","","Yes","From Crimea"
"OFC-326","Dubinovsky Alexei Sergeyevich","Дубиновский Алексей Сергеевич","Zaporizhzhia Oblast","Acting Minister of Regional Security of Zaporizhzhia Oblast","Regional","Melitopol","2025","","Yes","Likely from Novosibirsk Oblast (tax account registration)"
"OFC-327","Podshivalov Gennady Valeryevich","Подшивалов Геннадий Валериевич","Zaporizhzhia Oblast","Acting Minister of Agro-Industrial Complex and Food Policy of Zaporizhzhia Oblast","Regional","Melitopol","2025","","Yes","Likely from Crimea (registered tax number there)"
"OFC-328","Lukashenko Nikolai Nikolaevich","Лукашенко Николай Николаевич","Zaporizhzhia Oblast","Acting Minister of Transport and Transport Infrastructure Development","Regional","Melitopol","2025","","Yes","Likely from Crimea (registered tax number there in 2021)"
"OFC-329","Gomonov Alexander Gennadyevich","Гомонов Александр Геннадьевич","Zaporizhzhia Oblast","Minister of Energy of Zaporizhzhia Oblast","Regional","Melitopol","2025","","Yes","Likely from Stavropol Krai (tax account registered there)"
"OFC-330","Savelchev Alexei Petrovich","Савельчев Алексей Петрович","Zaporizhzhia Oblast","Acting Minister of Industry and Trade of Zaporizhzhia Oblast","Regional","Melitopol","2025","","Yes","Likely from Republic of Tatarstan (tax account registered there)"
"OFC-331","Zhelnovakova Dina Vasilyevna","Желновакова Дина Васильевна","Zaporizhzhia Oblast","Acting Minister of Labour and Social Policy of Zaporizhzhia Oblast","Regional","Melitopol","2025","","Yes","Tambov, Russia"
"OFC-332","Kalyagin Alexander Mikhailovich","Калягин Александр Михайлович","Zaporizhzhia Oblast","Minister of Education and Science of Zaporizhzhia Oblast","Regional","Melitopol","2025","","Yes","Moscow Oblast, Russia"
"OFC-333","Zaitsev Konstantin Sergeyevich","Зайцев Константин Сергеевич","Zaporizhzhia Oblast","Acting Minister of Physical Culture and Sport of Zaporizhzhia Oblast","Regional","Melitopol","2025","","Yes","Likely from Zaporizhzhia (tax account reg.)"
"OFC-334","Prokhvatilov Grigory Vladimirovich","Прохватилов Григорий Владимирович","Zaporizhzhia Oblast","Minister of Digital Development, Mass Communications and Communications of Zaporizhzhia Oblast","Regional","Melitopol","2025","","Yes","Born in Ashgabat, Turkmenistan. Raised in Moscow, before 2014 lived in Crimea."
"OFC-335","Mashkautsan Semyon Alekseyevich","Машкауцан Семен Алексеевич","Kherson Oblast","Chairman of Government of Kherson Oblast (Prime Minister)","Regional","Henichesk","2024","","Yes","Born in Chelyabinsk, educated in Moscow"
"OFC-336","Bulyuk Vitaly Viktorovich","Булюк Виталий Викторович","Kherson Oblast","First Deputy Chairman of Government of Kherson Oblast","Regional","Henichesk","2024","","Yes","From Kherson"
"OFC-337","Vetrov Alexander Andreyevich","Ветров Александр Андреевич","Kherson Oblast","Deputy Chairman of Government of Kherson Oblast","Regional","Henichesk","2024","","Yes","Born in Bryansk oblast, lived in Kherson prior to 2022"
"OFC-338","Tsyganenko Ruslan Alekseyevich","Цыганенко Руслан Алексеевич","Kherson Oblast","Deputy Chairman of Government of Kherson Oblast","Regional","Henichesk","2024","","Yes","Likely from Khanty-Mansi Autonomous Okrug, Russia (tax account reg.)"
"OFC-339","Cherevko Sergei Nikolaevich","Черевко Сергей Николаевич","Kherson Oblast","Deputy Chairman of Government of Kherson Oblast","Regional","Henichesk","2024","","Yes","From Kherson"
"OFC-340","Zaredinova Alime Nazimovna","Зарединова Алиме Назимовна","Kherson Oblast","Acting Minister of Agro-Industrial Complex, Food Policy and Fisheries of Kherson Oblast","Regional","Henichesk","2024","","Yes","Crimean Tatar origin, likely transferred from Crimea"
"OFC-341","Borchaninova Elena Leonidovna","Борчанинова Елена Леонидовна","Kherson Oblast","Minister of Healthcare of Kherson Oblast","Regional","Henichesk","2024","","Yes","From Komi Republic, Russia"
"OFC-342","Lagoyskyy Artyom Alekseyevich","Лагойский Артем Алексеевич","Kherson Oblast","Minister of Culture of Kherson Oblast","Regional","Henichesk","2024","","Yes","From Kherson"
"OFC-343","Zapuskalov Sergei Gennadyevich","Запускалов Сергей Геннадьевич","Kherson Oblast","Minister of Resorts and Tourism of Kherson Oblast","Regional","Henichesk","2024","","Yes","Likely from Chelyabinsk (tax account reg.)"
"OFC-344","Yarchenko Vladislav Vladimirovich","Ярченко Владислав Владимирович","Kherson Oblast","Minister of Youth Policy of Kherson Oblast","Regional","Henichesk","2024","","Yes","Krasnodar Krai, Russia"
"OFC-345","Grigoryev Alexei Alexandrovich","Григорьев Алексей Александрович","Kherson Oblast","Acting Minister of Education and Science of Kherson Oblast","Regional","Henichesk","2024","","Yes","From Pskov oblast, Russia"
"OFC-346","Bystryiantsev Nikolai Yuryevich","Быстрянцев Николай Юрьевич","Kherson Oblast","Minister of Natural Resources and Ecology of Kherson Oblast","Regional","Henichesk","2024","","Yes","From Crimea"
"OFC-347","Kirillova Elena Alexandrovna","Кириллова Елена Александровна","Kherson Oblast","Acting Minister of Sport of Kherson Oblast","Regional","Henichesk","2024","","Yes","From Yalta, Crimea"
"OFC-348","Kozupitsa Sergei Andreyevich","Козупица Сергей Андреевич","Kherson Oblast","Minister of Construction, Architecture and Housing of Kherson Oblast","Regional","Henichesk","2024","","Yes","From Krasnoyarsk Krai, Russia"
"OFC-349","Savransky Pavel Vasilyevich","Савранский Павел Васильевич","Kherson Oblast","Minister of Fuel-Energy Complex of Kherson Oblast","Regional","Henichesk","2024","","Yes","Likely from Krasnodar Krai (tax account registration)"
"OFC-350","Tereshchenko Anatoly Nikolaevich","Терещенко Анатолий Николаевич","Kherson Oblast","Acting Minister / Head of Roads and Transport Infrastructure Management of Kherson Oblast","Regional","Henichesk","2024","","Yes","From Sevastopol, Crimea"
"OFC-351","Ostrovskaya Marina Alexandrovna","Островская Марина Александровна","Kherson Oblast","Acting Minister of Labour and Social Protection of Kherson Oblast","Regional","Henichesk","2024","","Yes","From Mocow, Russia"
"OFC-352","Rassadina Yulia Nikolayevna","Рассадина Юлия Николаевна","Kherson Oblast","Acting Minister of Finance of Kherson Oblast","Regional","Henichesk","2024","","Yes","From Russia / Russian federal appointee"
"OFC-353","Borodin Nikita Alexandrovich","Бородин Никита Александрович","Kherson Oblast","Minister of Digital Development and Mass Communications of Kherson Oblast","Regional","Henichesk","2024","","Yes","Likely from Penza Oblast (tax account reg.)"
"OFC-354","Kiriyenko Georgy Sergeyevich","Кириенко Георгий Сергеевич","Kherson Oblast","Minister of Industry and Trade of Kherson Oblast","Regional","Henichesk","2024","","Yes","Likely from Moscow (tax account reg.)"
"OFC-355","Musayev Ervin Kyazimovich","Мусаев Эрвин Кязимович","Kherson Oblast","Minister of Economic Development of Kherson Oblast","Regional","Henichesk","2024","","Yes","Crimean Tatar origin, likely transferred from Crimea"
"OFC-357","Ivashchenko Kostiantyn Volodymyrovych","Іващенко Костянтин Володимирович","DPR","Head of Mariupol Occupation Administration","City","Mariupol","2022","2023","No","Ukrainian-born, collaborator"
"OFC-358","Nosenko Oleg Hryhorovych","Носенко Олег Григорович","DPR","Chairman of Mariupol City Council (occupation)","City","Mariupol","2023","","Unknown","Ukrainian-born, collaborator"
"OFC-359","Kharmyshev Evhen Oleksandrovych","Хармишев Євген Олександрович","DPR","Former Deputy Head of Mariupol Administration; Head of United Russia and People's Front structures in Mariupol","City","Mariupol","2022","","Yes","Ukrainian-born, collaborator"
"OFC-360","Dmytriyev Oleksandr Volodymyrovych","Дмитрієв Олександр Владимирович","DPR","Deputy Head of Mariupol Occupation Administration; Head of Housing and Communal Services Management","City","Mariupol","2023","","Yes","Ukrainian-born, collaborator"
"OFC-361","Bodiahin Evhen","Бодягін Євген","DPR","Adviser to Head of Mariupol Administration / Deputy Head of Administration","City","Mariupol","2022","2025","No","Ukrainian-born, collaborator"
"OFC-362","Perepechay Bogdan","Перепечай Богдан","DPR","First Deputy Head of Mariupol Occupation Administration","City","Mariupol","2022","2024","No","Local resident of Mariupol, occupation administration employee"
"OFC-363","Kalachova","Калачьова","DPR","Deputy Head of Mariupol Occupation Administration","City","Mariupol","2022","2025","No","Local resident of Mariupol, occupation administration employee"
"OFC-364","Zolotov","Золотов","DPR","Head of Left Bank District Administration (Mariupol)","District","Mariupol — Left Bank","2022","2023","No","Ukrainian-born, collaborator"
"OFC-365","Sablin Dmytro Vadymovych","Саблін Дмитро Вадимович","Multiple","Russian State Duma Deputy; Key power broker and patron for Mariupol occupation network","Regional","Moscow / Mariupol","2022","","Yes","Ukrainian-born, Russian career"
"OFC-366","Ivanov Petro Volodymyrovych","Іванов Петро Володимирович","DPR","Criminal authority / informal power broker in Mariupol","City","Mariupol","2022","","Yes","Ukrainian-born, collaborator"
"OFC-367","Soldatov Oleksandr Hryhorovych","Солдатов Олександр Григорович","DPR","Head of GUP DNR ""Administration of the Sea Port of the City of Mariupol""","Sector","Mariupol","2022","","Yes","Ukrainian-born, collaborator"
"OFC-368","Onatskyy Valery Anatolyevich","Онацький Валерій Анатольевич","DPR","Head of ideological work with children; de facto head of all youth organisations in Mariupol","Sector","Mariupol","2022","","Yes","Ukrainian-born, collaborator"
"OFC-369","Averkin Mykyta Oleksandrovych","Аверкін Микита Олександрович","DPR","Head of Youth Policy Department, Mariupol administration; MGER leader Mariupol; Mariupol city council deputy","Sector","Mariupol — Shevchenko Boulevard 305, apt 86","2022","","Yes","Ukrainian-born, collaborator"
"OFC-370","Orleansky Sergei Evgenyevich","Орлеанський Сергій Євгенійович","DPR","Head of Emergency Hospital, Mariupol; United Russia figure","Sector","Mariupol","2022","","Yes","Ukrainian-born, collaborator"
"OFC-371","Ftits","Фтіц","DPR","Conditionally public United Russia figure, Mariupol","Sector","Mariupol","2022","","Unknown","Ukrainian-born, collaborator"
"OFC-372","Klisak Natalya Alexandrovna","Клисак Наталья Александровна","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-373","Shiyan Anna Igorevna","Шиян Анна Игоревна","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-374","Matrosova Marina Anatolyevna","Матросова Марина Анатольевна","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-375","Bolotnyuk Angelina Vasilyevna","Болотнюк Ангелина Васильевна","DPR","Head of Department / Chief Accountant, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-376","Istratova Irina Yaroslavovna","Истратова Ирина Ярославовна","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-377","Safronov Igor Ivanovich","Сафронов Игорь Иванович","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-378","Andrushchenko Elena Nikolaevna","Андрущенко Елена Николаевна","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-379","Sergiyenko Alexei Nikolaevich","Сергиенко Алексей Николаевич","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-380","Voytenko Spartak Nikolaevich","Войтенко Спартак Николаевич","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-381","Golovan Elena Vladimirovna","Головань Елена Владимировна","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-382","Zabelin Andrei Vladimirovich","Забелин Андрей Владимирович","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-383","Vovchenko Gennady Olegovich","Вовченко Геннадий Олегович","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-384","Kobzev Oleg Vitalyevich","Кобзев Олег Витальевич","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-385","Klochkova Natalya Andreyevna","Клочкова Наталья Андреевна","DPR","Head of Urban Planning Department; Chief Architect of Mariupol","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-386","Bystrova Marianna Andreyevna","Быстрова Марианна Андреевна","DPR","Head of Department / Architect, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-387","Seliverstova Ksenia Alexandrovna","Селиверстова Ксения Александровна","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-388","Fedyna Natalya Vyacheslavovna","Федына Наталья Вячеславовна","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-389","Burlachenko Elena Grigoryevna","Бурлаченко Елена Григорьевна","DPR","Head of Department (Management level), Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-390","Lyutaya Victoria Vladimirovna","Лютая Виктория Владимировна","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-391","Litvikh Marina Vasilyevna","Литвих Марина Васильевна","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-392","Levchuk Irina Nikolaevna","Левчук Ирина Николаевна","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-393","Gavrish Yana Olegovna","Гавриш Яна Олеговна","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-394","Burskaya Elena Evgenyevna","Бурская Елена Евгеньевна","DPR","Head of Department / Chief Accountant, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-395","Slyusarenko Yulia Ivanovna","Слюсаренко Юлия Ивановна","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-396","Kukharenkova Olga Pavlovna","Кухаренкова Ольга Павловна","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-397","Demchenko Larisa Anatolyevna","Демченко Лариса Анатольевна","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-398","Zasulskaya Natalya Yuryevna","Засульская Наталья Юрьевна","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-399","Miroshnichenko Yana Sergeyevna","Мирошниченко Яна Сергеевна","DPR","Head of Management (Directorate), Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-400","Khalpakhchi Natalia Vasilyevna","Халпахчи Наталия Васильевна","DPR","Deputy Head of Directorate, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-401","Shaposhnikov Evgeny Nikolaevich","Шапошников Евгений Николаевич","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-402","Baranova Alla Alexandrovna","Баранова Алла Александровна","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-403","Orlenko Natalya Viktorovna","Орленко Наталья Викторовна","DPR","Head of Department / Chief Accountant, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-404","Tkachenko Yulia Viktorovna","Ткаченко Юлия Викторовна","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-405","Zelenyuk Irina Olegovna","Зеленюк Ирина Олеговна","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-406","Shevchenko Mikhail Alexandrovich","Шевченко Михаил Александрович","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-407","Shevchenko Yuri Alexandrovich","Шевченко Юрий Александрович","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-408","Salgalov Vyacheslav Sergeyevich","Салгалов Вячеслав Сергеевич","DPR","Head of Directorate, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-409","Balaban Vitaly Alexandrovich","Балабан Виталий Александрович","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-410","Mateyko Elena Alexandrovna","Матейко Елена Александровна","DPR","Head of Directorate, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-411","Solodukha Galina Yuryevna","Солодуха Галина Юрьевна","DPR","Deputy Head of Directorate, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-412","Karpenko Elena Vasilyevna","Карпенко Елена Васильевна","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-413","Klenin Boris Vitalyevich","Кленин Борис Витальевич","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-414","Uzun Elena Valentinovna","Узун Елена Валентиновна","DPR","Head of Directorate, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-415","Bodyagina Victoria Sergeyevna","Бодягина Виктория Сергеевна","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-416","Pogibayeva Svetlana Valentinovna","Погибаева Светлана Валентиновна","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-417","Gerasimenko Yulia Vyacheslavovna","Герасименко Юлия Вячеславовна","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-418","Ivanenko Elena Sergeyevna","Иваненко Елена Сергеевна","DPR","Head of Department, Mariupol occupation administration","Sector","Mariupol","2022","","Unknown","Local resident of Mariupol, occupation administration employee"
"OFC-419","Berdnikov Dmytro","Бердніков Дмитро","DPR","Prime Minister of DPR; formerly First Deputy Head of Mariupol Occupation Administration","Regional","Donetsk / Mariupol","2022","","Yes","Born in Angarsk, Irkutsk Oblast"
"OFC-420","Zolotariov Serhii","Золотарьов Сергій","Zaporizhzhia Oblast","Head (Holova) of Melitopol City under occupation","City","Melitopol","2022","","Yes","Ukrainian-born, collaborator"
"OFC-421","Sivenkova Olena","Сівенкова Олена","Zaporizhzhia Oblast","Member, Zaporizhzhia Oblast Regional Election Commission","Regional","Melitopol","2023","2025","No",""
"OFC-423","Kovtun Liudmyla","Ковтун Людмила","Kherson Oblast","Minister of Education and Science of Kherson Oblast","Regional","Henichesk","2023","2025","No","Ukrainian-born, collaborator"
"OFC-425","Grigoryev Oleksii Oleksandrovych","Григор'єв Олексій Олександрович","Kherson Oblast","Deputy Chair of Kherson Oblast Duma","Regional","Henichesk","2025","","Yes","From Russia / Russian federal appointee"
"OFC-425","Kovtun Liudmyla (predecessor to Grigoryev)","Григор'єв Олексій Олександрович","Kherson Oblast","Acting Minister of Education and Science of Kherson Oblast","Regional","Henichesk","2025","","Yes","Russian"
"OFC-426","Gryshyn Oleksii","Гришин Олексій","Kherson Oblast","Deputy of Kherson Oblast Duma","Regional","Henichesk","2023","","Yes","Born in Ulyanovsk, Russia"
"OFC-427","Romanov Vasyl","Романов Василь","Kherson Oblast","Head of Regional Rosreestr Subdivision for Kherson Oblast","Regional","Henichesk","2023","","Yes","Russian"
"OFC-428","Babeshko Nadiia","Бабешко Надія","Kherson Oblast","Secretary, Local United Russia Branch (Ivanivka area, Kherson Oblast)","District","Ivanivka district, Kherson Oblast","2023","","Yes","Born in Melitopol, Ukraine"
"OFC-429","Chertkov Andrei","Чертков Андрей","DPR","Chairman of DPR Government (Prime Minister)","Regional","Donetsk","2025","","Yes","Russian"
"OFC-430","Kovalchuk Egor","Ковальчук Єгор","LNR","Prime Minister of LNR Government (Chairman of Government)","Regional","Luhansk","2024","","Yes","Russian"
"OFC-431","Kulemzin Aleksei","Кулемзін Олексій","DPR","Head of Donetsk City Administration","City","Donetsk","2022","","Yes","Transferred from another occupied territory"
"OFC-433","Kondrykinskaya Anna","Кондрикінська Анна","DPR","Deputy of DPR People's Council; Head of Housing and Utilities Committee","Regional","Donetsk","2022","","Yes","Likely from Rostov oblast (tax account reg.)"
"OFC-434","Kalyuzhny Andrei","Калюжний Андрій","DPR","Former Head of Donbas Development Corporation (Корпорация развития Донбасса)","Regional","Donetsk / Moscow / UAE","2023","2025","No","Russian"
"OFC-436","Zakharchenko Serhii","Захарченко Сергій","DPR","Member, Central Committee of Communist Party of Russian Federation (CPRF); DPR political figure","Regional","Donetsk / Moscow","2025","","Yes","Ukrainian-born, collaborator"
"OFC-437","Puduk Viktor","Пудук Віктор","DPR","Head of DPR Regional Yunarmiya Headquarters","Regional","Donetsk","2022","","Yes","Donetsk region"
"OFC-438","Sumska Marianna","Сумська Маріанна","LNR","Head of LNR Election Commission","Regional","Luhansk","2022","","Yes","Likely from Krasnodar Krai (tax account registration)"
"OFC-440","Leontyev Volodymyr","Леонтьєв Володимир","Kherson Oblast","Head of Nova Kakhovka Municipal Council (occupation)","District","Nova Kakhovka","2022","2025","No","Ukrainian-born, collaborator"
"OFC-441","Izyumenko Halyna","Ізюменко Галина","Kherson Oblast","Head of Nova Kakhovka Municipal Council","District","Nova Kakhovka","2025","","Yes","Ukrainian-born, collaborator"
"OFC-442","Savchuk Volodymyr","Савчук Володимир","Kherson Oblast","Head of Main Directorate of MVD Russia for Kherson Oblast","Regional","Henichesk","2025","","Yes","Russian"
"OFC-444","Safronov Ivan","Сафронов Іван","Kherson Oblast","Minister of Industry and Trade of Kherson Oblast","Regional","Henichesk","2023","2025","No","Likely from Tambov Oblast, Russia (tax account reg.)"
"OFC-445","Kiriyenko Georgii Sergeyevich","Кірієнко Георгій Сергійович","Kherson Oblast","Acting Minister of Industry and Trade of Kherson Oblast","Regional","Henichesk","2025","","Yes","Russian"
"OFC-446","Niemtullayev Rustem","Нємтуллаєв Рустем","Kherson Oblast","Deputy of Kherson Oblast Duma; organiser of muftiate creation for Kherson Oblast","Regional","Henichesk","2023","","Yes","Ukrainian-born, collaborator"
"OFC-447","Filipchuk Pavlo","Філіпчук Павло","Kherson Oblast","Head of Kakhovka Municipal District","District","Kakhovka area","2022","","Yes","Ukrainian-born, collaborator"
"OFC-448","Demchenko Dmytro","Демченко Дмитро","Kherson Oblast","Head of Youth Policy Department, Henichesk Municipal District; Head of Henichesk Yunarmiya branch","District","Henichesk","2023","","Yes","From Kherson"
"OFC-449","Zakharova Marina","Захарова Марина","Kherson Oblast","Head of Kherson Oblast Election Commission","Regional","Henichesk","2023","","Yes","Likely from Rostov oblast (tax account reg.)"
"OFC-450","Khlyustov Alexander","Хлюстов Олександр","Kherson Oblast","Deputy of Kherson Oblast Regional Duma (United Russia)","Regional","Henichesk","2023","","Yes","Borm in Volgograd Oblast, Russia"
"OFC-451","Barkhatnova Alla","Бархатнова Алла","Kherson Oblast","Minister of Labour and Social Protection of Kherson Oblast (2023)","Regional","Henichesk","2022","2025","No","Born in Oryol Oblast, Russia"
"OFC-456","Stepanov Oleksandr","Степанов Олександр","DPR","Senior figure in Mariupol occupation administration; described as ""head of administration""","City","Mariupol","2022","","Unknown","Ukrainian-born, collaborator"
"OFC-457","Ovcharenko Valentyn Viktorovych","Овчаренко Валентин Вікторович","DPR","Head of FKU IK-13 (Corrective Colony), Mariupol; Lieutenant Colonel of Internal Service","Sector","Mariupol — Kalmiuskyi district","2024","","Yes","Ukrainian-born, collaborator"
"OFC-458","Yefremov Mykhailo Oleksandrovych","Єфремов Михайло Олександрович","DPR","Head of FKU SIZO-2 (Pre-Trial Detention Centre), Mariupol","Sector","Mariupol — Kamenska Street 52","2024","","Yes","From Russia (Kalmykia Republic)"
"OFC-460","Apshev Albert","Апшев Альберт","LNR","Minister of Infrastructure and Transport of LNR","Regional","Luhansk","2022","","Yes","Luhansk region"
"OFC-461","Svidovskov Leonard","Свідосков Леонард","LNR","Head of LNR State Media Network","Regional","Luhansk","2022","","Yes","Luhansk region"
"OFC-462","Andreyeva Olena","Андреєва Олена","LNR","Head of LNR Department of Investment Policy","Regional","Luhansk","2023","","Yes",""
"OFC-463","Drobinyak Filip","Дробиняк Філіп","LNR","Head of ""My Business"" Programme, LNR","Regional","Luhansk","2023","","Yes","Luhansk region"
"OFC-464","Pilavov Manolis","Піладов Маноліс","LNR","Former Head of Luhansk City Administration (predecessor of Pashchenko Yana)","City","Luhansk","2022","2023","No","Ukrainian-born, collaborator"
"OFC-465","Senin Yuriy Anatoliyovych","Сенін Юрій Анатолійович","DPR","Head of Mariupol City Council (occupation)","City","Mariupol","2026","","Yes","Ukrainian-born, collaborator"
"OFC-466","Trofimov Roman Vasylovych","Трофимов Роман Васильович","DPR","Secretary of Mariupol City Council; Deputy Head of Mariupol City Council","City","Mariupol","2026","","Yes","Donetsk region"
"OFC-467","Smyrnova Yulia Mykolayivna","Смирнова Юлія Миколаївна","DPR","First Deputy Head of Ordzhonikidze District Administration, Mariupol; Secretary of United Russia Local Branch, Mariupol","District","Mariupol — Ordzhonikidze district","2022","","Yes","Ukrainian-born, collaborator"
