"Name","Type","Position","Territory","Jurisdiction","Date_Designated","DOB","Nationality","Reference_ID","Programme"
"Shperov, Pavel Valentinovich","Individual","Member of the State Duma, elected from the illegally annexed Autonomous Republic of Crimea. Member of Duma Committee on Commonwealth of Independent States (CIS) Affairs, Eurasian Integration and links with compatriots.","Crimea | Donetsk","UK (OFSI)","31/12/2020","04/07/1971","Ukraine","13395","Russia (Sanctions) (EU Exit) Regulations 2019"
"Slutski, Leonid Eduardovich","Individual","Chairperson of the Foreign Affairs Committee of the State Duma of the Russian Federation","Crimea | Donetsk","UK (OFSI)","31/12/2020","04/01/1968","Russia","12921","Russia (Sanctions) (EU Exit) Regulations 2019"
"State Unitary Enterprise of the 'Republic of Crimea' 'UNIVERSAL-AVIA'","Entity","","Crimea | Donetsk","UK (OFSI)","31/12/2020","","","13057","Russia (Sanctions) (EU Exit) Regulations 2019"
"Zhirinovsky, Vladimir Volfovich","Individual","Member of the Council of the State Duma and Leader of the Liberal Democratic Party Of Russia","Crimea | Donetsk","UK (OFSI)","31/12/2020","25/04/1946","Russia","13104","Russia (Sanctions) (EU Exit) Regulations 2019"
"Державне підприємство ""Керченський морський порт""","Organisation","","Crimea | Donetsk","Ukraine (NSDC)","2023-04-20T10:50:14","","ru;ua","NK-dkQmcSJrkupFYhtqjYvcx3","UA-SA1644"
"Державне унітарне підприємство Республіки Крим ""Кримавтодор""","Organisation","","Crimea | Donetsk","Ukraine (NSDC)","2024-06-25T09:22:06","","ru","NK-E7tcAVHB4rJq3RPuS3Dht8","UA-SA1644"
"Державне унітарне підприємство Республіки Крим ""Кримгазсєті""","Entity","","Crimea | Donetsk","Ukraine (NSDC)","2023-04-20T10:50:14","","ru","NK-DtKaxo6Gjbh8PLuctG83zK","UA-SA1644"
"Державне унітарне підприємство Республіки Крим ""Крименерго""","Organisation","","Crimea | Donetsk","Ukraine (NSDC)","2024-06-25T09:22:06","","ru","NK-dxFQd9HctAM6oyRje7HmBF","UA-SA1644"
"Державне унітарне підприємство Республіки Крим ""Кримський виноробний завод""","Organisation","","Crimea | Donetsk","Ukraine (NSDC)","2024-06-25T09:22:06","","ru","NK-CCNGV3E8UboprBEbUqNFuv","UA-SA1644"
"Державне унітарне підприємство Республіки Крим ""Прєдгор'є""","Organisation","","Crimea | Donetsk","Ukraine (NSDC)","2024-06-25T09:22:06","","ru","NK-FvofRpg5JiwTZJzjgRqGa7","UA-SA1644"
"Державне унітарне підприємство Республіки Крим ""Універсал-Авіа""","Organisation","","Crimea | Donetsk","Ukraine (NSDC)","2024-06-25T09:22:06","","ru","NK-6DxPcj2JyAGzYa2EWNW2UJ","UA-SA1644"
"Державне унітарне підприємство Республіки Крим ""Чєрноморнєфтєгаз""","Entity","","Crimea | Donetsk","Ukraine (NSDC)","2026-04-04T08:22:01","","ru","NK-cwPvv2dYyT4jfY3nJ2ShNy","UA-SA1644"
"Державне унітарне підприємство Севастополя ""Пансіонати Севастополя""","Organisation","","Crimea | Donetsk","Ukraine (NSDC)","2023-11-22T15:22:01","","ru","NK-mWVsDQqtQwmfGiF9WkQeAR","UA-SA1644"
"Державне унітарне підприємство міста Севастополя ""Агропромислове об'єднання ""Севастопольський виноробний завод""","Organisation","","Crimea | Donetsk","Ukraine (NSDC)","2024-06-25T09:22:06","","ru","NK-gPs42jp4DsYJRJFjn3YXfp","UA-SA1644"
"Спілка ""Регіональне об’єднання роботодавців ""Севастопольська спілка промисловців і підприємців""","Organisation","","Crimea | Donetsk","Ukraine (NSDC)","2025-05-01T12:22:02","","ru","NK-CtGZUzgAbtWMJvq5Bdtf7i","UA-SA1644"
"Товариство з обмеженою відповідальністю ""Русхімтрейд""","Organisation","","Crimea | Donetsk","Ukraine (NSDC)","2024-03-13T12:22:01","","ru;ua","NK-jCXvW6UXepFU26K4rtVM7W","UA-SA1644"
"Товариство з обмеженою відповідальністю ""Севастопольське підприємство ""ЕРА""","Organisation","","Crimea | Donetsk","Ukraine (NSDC)","2023-04-20T10:50:14","","ru","NK-GJU58vcDzaCcHBSVrSGcsQ","UA-SA1644"
"Федеральне державне унітарне підприємство ""Кримська залізниця""","Organisation","","Crimea | Donetsk","Ukraine (NSDC)","2024-06-25T09:22:06","","ru","NK-jFvY8pdVLCjP4jzQbho49i","UA-SA1644"
"Федеральне державне унітарне підприємство ""Пошта Криму""","Organisation","","Crimea | Donetsk","Ukraine (NSDC)","2026-02-28T08:22:01","","ru","NK-hvNwQdnrqzjPioAVYZqWtZ","UA-SA1644"
"GRIGORENKO, Dmitriy Yuryevich","Individual","Deputy Prime Minister of the Russian Federation – Chief of the Government Staff of the Russian Federation; Chairman of the Supervisory Council of the VTB Bank; Chairman of the Supervisory Council of VEB.RF.","Crimea | Donetsk | Luhansk","UK (OFSI)","15/03/2022","14/07/1978","Russia","14643","Russia (Sanctions) (EU Exit) Regulations 2019"
"Kalashnikov, Leonid Ivanovich","Individual","First Deputy Chairman of the Committee on Foreign Affairs of the State Durma","Crimea | Donetsk | Luhansk","UK (OFSI)","31/12/2020","06/08/1960","Russia","13107","Russia (Sanctions) (EU Exit) Regulations 2019"
"Vladimir Vladislavovich KOVALENKO","Individual","Chief of Staff of the Sevastopol branch the All-Russia “Young Army” Military Patriotic Social Movement","Crimea | Luhansk","Australia (DFAT)","2024-02-23","1962-02-04","Ukraine, Russia","7869","Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Russia and Ukraine) Amendment (No. 1) Instrument 2024"
"Dmitry Yevgenevich KULIKOV","Individual","Author and political scientist","Donbas (general)","Australia (DFAT)","2024-02-23","1967-11-18","Russia","7882","Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Russia and Ukraine) Amendment (No. 1) Instrument 2024"
"Виктор Юрьевич АНОСОВ","Individual","board member of the 'Union of Donbas Volunteers', a paramilitary organisation","Donbas (general)","EU","2022-12-16","1965-10-31","","EU.9418.72","UKR — 2022/2476 (OJ L322-I)"
"Interregional Social Organization Union of Donbas Volunteers (a.k.a.","Entity","MOO SDD; a.k.a. Union of Donbas Volunteers)","Donbas (general)","Japan (METI/MFA)","","","","108","Foreign Exchange and Foreign Trade Act"
"Public movement ‘Free Donbass’","Entity","","Donbas (general)","Switzerland (SECO)","2014-12-15","","","","Ordinance SR 946.231.176.72"
"So-called ""Donbas People's Militia""","Entity","","Donbas (general)","Switzerland (SECO)","2014-08-04","","","","Ordinance SR 946.231.176.72"
"State Corporation “Donbass Development Corporation”","Entity","","Donbas (general)","Switzerland (SECO)","2024-12-20","","","","Ordinance SR 946.231.176.72"
"Union of Donbas Volunteers","Entity","","Donbas (general)","Switzerland (SECO)","2022-12-20","","","","Ordinance SR 946.231.176.72"
"ANOSOV, Viktor Yuryevich","Individual","","Donbas (general)","US (OFAC)","2022-06-28","31 Oct 1965","Russia","37720","RUSSIA-EO14024 | Executive Order 14024 (Russia)"
"BORODAY, Alexander Yuryevich","Individual","Member of the State Duma of the Federal Assembly of the Russian Federation","Donbas (general)","US (OFAC)","2014-07-16","25 Jul 1972","Russia","17024","UKRAINE-EO13660 | RUSSIA-EO14024 | Executive Order 13660 (Ukraine) | Executive Order 14024 (Russia)"
"CHUMAKOV, Aleksey Nikolaevich","Individual","","Donbas (general)","US (OFAC)","2022-06-28","06 May 1974","","37723","RUSSIA-EO14024 | Executive Order 14024 (Russia)"
"DANILTSEV, Yuriy Viktorovich","Individual","","Donbas (general)","US (OFAC)","2022-06-28","02 Sep 1974","","37730","RUSSIA-EO14024 | Executive Order 14024 (Russia)"
"DZINIKASHVILI, Dmitriy Vladimirovich","Individual","","Donbas (general)","US (OFAC)","2022-06-28","17 Jul 1987","","37726","RUSSIA-EO14024 | Executive Order 14024 (Russia)"
"ENALDIEV, Tamerlan Borisovich","Individual","","Donbas (general)","US (OFAC)","2022-06-28","06 Dec 1966","","37731","RUSSIA-EO14024 | Executive Order 14024 (Russia)"
"KOLEDA, Mariya Vasilyevna","Individual","","Donbas (general)","US (OFAC)","2022-06-28","07 Jun 1991","","37727","RUSSIA-EO14024 | Executive Order 14024 (Russia)"
"KULYGINA, Olga Ivanovna","Individual","","Donbas (general)","US (OFAC)","2022-06-28","14 Sep 1972","","37678","RUSSIA-EO14024 | Executive Order 14024 (Russia)"
"LASHKARYOVA, Nadezhda Vitalyevna","Individual","","Donbas (general)","US (OFAC)","2022-06-28","08 Nov 1961","","37729","RUSSIA-EO14024 | Executive Order 14024 (Russia)"
"LENSHIN, Roman Yuryevich","Individual","","Donbas (general)","US (OFAC)","2022-06-28","02 Aug 1976","","37732","RUSSIA-EO14024 | Executive Order 14024 (Russia)"
"OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU FAKTOR TS","Entity","","Donbas (general)","US (OFAC)","2024-02-23","","","47250","RUSSIA-EO14024 | Executive Order 14024 (Russia)"
"PINCHUK, Andrei Yuryevich","Individual","","Donbas (general)","US (OFAC)","2022-06-28","27 Dec 1977","Russia","37676","RUSSIA-EO14024 | Executive Order 14024 (Russia)"
"PUGACHYOV, Oleg Ivanovich","Individual","","Donbas (general)","US (OFAC)","2022-06-28","27 Jul 1987","","37724","RUSSIA-EO14024 | Executive Order 14024 (Russia)"
"SHEVCHENKO, Yuriy Valeryevich","Individual","","Donbas (general)","US (OFAC)","2022-06-28","30 Dec 1966","","37733","RUSSIA-EO14024 | Executive Order 14024 (Russia)"
"SOSONNYY, Aleksey Petrovich","Individual","","Donbas (general)","US (OFAC)","2022-06-28","05 Nov 1983","","37725","RUSSIA-EO14024 | Executive Order 14024 (Russia)"
"Міжрегіональна громадська організація ""Спілка добровольців Донбасу""","Organisation","","Donbas (general)","Ukraine (NSDC)","2023-04-20T10:50:14","","ru","NK-g8JoGm8hqTBqbiFnAF7w3M","UA-SA1644"
"Суспільно-корисний благодійний фонд допомоги добровольцям Донбасу та членам сімей ""Добровольці Донбасу""","Organisation","","Donbas (general)","Ukraine (NSDC)","2025-05-01T12:22:02","","ru","NK-K5vPsYFtH9BERG8vYoSffo","UA-SA1644"
"Aleksandr Aleksandrovich OPRISHHENKO","Individual","So-called ‘Acting Minister of Health’ of the so-called ‘People’s Republic of Donetsk’","Donetsk","Australia (DFAT)","2022-05-04","1976-04-24","Ukraine","7105","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 14) Instrument 2022"
"Aleksandr Yurevich GROMAKOV","Individual","So-called ‘Minister of Youth, Sports, and Tourism’ of the so-called ‘People’s Republic of Donetsk’","Donetsk","Australia (DFAT)","2022-05-04","1958-09-04","","7107","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 14) Instrument 2022"
"Aleksei Alexandrovich DIKIY","Individual","So-called ‘Minister of Internal Affairs’ of the so-called ‘People’s Republic of Donetsk’","Donetsk","Australia (DFAT)","2022-05-04","1974-07-05","Ukraine","7100","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 14) Instrument 2022"
"Aleksei Vladimirovich POLOVYAN","Individual","So-called ‘Minister of Economic Development’ of the so-called ‘People’s Republic of Donetsk’","Donetsk","Australia (DFAT)","2022-05-04","1979-05-03","Ukraine","7117","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 14) Instrument 2022"
"Alexander Valentinovich NOVAK","Individual","Deputy Prime Minister of the Russian Federation","Donetsk","Australia (DFAT)","2023-02-24","1971-08-23","Russia","7373","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 2) Instrument 2023"
"Alexander Yevgenevych ANANCHENKO","Individual","So-called ‘Prime Minister’ of the so-called ‘People’s Republic of Donetsk’","Donetsk","Australia (DFAT)","2022-05-04","1966-02-02","Ukraine","7099","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 14) Instrument 2022"
"Alexei Aleksandrovich KOSTRUBITSKIY","Individual","So-called ‘Minister for Civil Defence, Emergency Situations and Elimination of Consequences of Natural Disasters’ of the so-called ‘People’s Republic of Donetsk’","Donetsk","Australia (DFAT)","2022-05-04","1978-08-24","Ukraine","7109","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 14) Instrument 2022"
"Artem Alexandrovich KRAMARENKO","Individual","So-called ‘Minister of Agro-Industrial Policy and Food’ of the so-called ‘People’s Republic of Donetsk’","Donetsk","Australia (DFAT)","2022-05-04","1980-01-13","","7101","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 14) Instrument 2022"
"Darya Vasilevna MOROZOVA","Individual","Commissioner of Human Rights of the so-called “Donetsk People’s Republic”","Donetsk","Australia (DFAT)","2024-02-23","1989-02-27","Russia","7860","Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Russia and Ukraine) Amendment (No. 1) Instrument 2024"
"Dmitriy Viktorovich PODLIPANOV","Individual","So-called ‘Minister of Transport’ of the so-called ‘People’s Republic of Donetsk’","Donetsk","Australia (DFAT)","2022-05-04","1964-11-28","Ukraine","7113","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 14) Instrument 2022"
"Ekaterina Vladimirovna FILIPPOVA","Individual","Previously listed under 'Ukraine criteria' - Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment List 2017 (No 2) [F2017L01118]; New listing start date 27 Aug 2023","Donetsk","Australia (DFAT)","2023-08-27","20/01/1988, 20/11/1988","Russia, Ukraine","7619","Instrument of first designation: Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 10) Instrument 2023"
"Eleonora Mikhailovna FEDORENKO","Individual","Advisor on Childrens’ Rights to the head of the so-called ‘Donetsk People’s Republic’","Donetsk","Australia (DFAT)","2024-02-23","1972-10-28","Russia","7868","Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Russia and Ukraine) Amendment (No. 1) Instrument 2024"
"Evgenij Evgenievich LAVRENOV","Individual","So-called ‘Minister of Income and Fees’ of the so-called ‘People’s Republic of Donetsk’","Donetsk","Australia (DFAT)","2022-05-04","1979-12-05","","7104","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 14) Instrument 2022"
"Evgeny Vyacheslavovich ORLOV","Individual","Previously listed under 'Ukraine criteria' - Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment List 2017 (No 2) [F2017L01118]; New listing start date 27 Aug 2023","Donetsk","Australia (DFAT)","2023-08-27","10/05/1980, 21/10/1983","Ukraine","7636","Instrument of first designation: Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 10) Instrument 2023"
"Fedir Dmytrovych BEREZIN","Individual","Previously listed under 'Ukraine criteria' - Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment List 2014 [F2014L01184]; New listing start date 27 Aug 2023","Donetsk","Australia (DFAT)","2023-08-27","1960-02-07","Russia, Ukraine","7615","Instrument of first designation: Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 10) Instrument 2023"
"Igor Nikolaevich HALEPA","Individual","So-called ‘Acting Minister of Telecommunications’ of the so-called ‘People’s Republic of Donetsk’","Donetsk","Australia (DFAT)","2022-05-04","1969-05-19","","7111","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 14) Instrument 2022"
"Igor Vladimirovich KOSTENOK","Individual","Previously listed under 'Ukraine criteria' - Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment List 2017 (No 2) [F2017L01118]; New listing start date 27 Aug 2023","Donetsk","Australia (DFAT)","2023-08-27","1961-03-15","Ukraine","7627","Instrument of first designation: Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 10) Instrument 2023"
"Igor Yuriyovich ANTIPOV","Individual","Previously listed under 'Ukraine criteria' - Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment List 2017 (No 2) [F2017L01118]; New listing start date 27 Aug 2023","Donetsk","Australia (DFAT)","2023-08-27","06/12/1964, 26/05/1961","Russia, Ukraine","7609","Instrument of first designation: Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 10) Instrument 2023"
"KIM Yong Bok","Individual","Deputy Chief of the Democratic People’s Republic of Korea’s (DPRK) General Staff Department; 
Head of the XI Corps [special forces], aka the Storm Corps
Passport: 654420047 (expired)","Donetsk","Australia (DFAT)","2025-02-24","1957-07-27","Democratic People's Republic of Korea","8035","Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Russia and Ukraine) Amendment (No. 1) Instrument 2025"
"LEE Chang Ho","Individual","Deputy Chief of the Democratic People’s Republic of Korea’s (DPRK) General Staff Department;
Head of DPRK's General Reconnaissance Bureau (RGB)","Donetsk","Australia (DFAT)","2025-02-24","1967-09-11","Democratic People's Republic of Korea","8036","Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Russia and Ukraine) Amendment (No. 1) Instrument 2025"
"Larisa Valentinovna TOLSTYKINA","Individual","So-called ‘Minister of Labour and Social Affairs’ of the so-called ‘People’s Republic of Donetsk’","Donetsk","Australia (DFAT)","2022-05-04","1967-10-03","Ukraine","7114","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 14) Instrument 2022"
"Leonid Volodymyroviych KHARCHENKO","Individual","Former so-called ‘Commander’ of a Reconnaissance Battalion of the Military Intelligence Agency of the ‘People’s Republic of Donetsk’ and convicted by the District Court of The Hague for the downing of Flight MH17 on 17 November 2022.","Donetsk","Australia (DFAT)","2023-06-24","1972-01-10","Ukraine","7560","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 5) Instrument 2023"
"Mihail Vasilevich ZHELTYAKOV","Individual","So-called ‘Minister of Culture’ of the so-called ‘People’s Republic of Donetsk’","Donetsk","Australia (DFAT)","2022-05-04","1961-01-01","Ukraine","7106","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 14) Instrument 2022"
"Mikhail Nikolaevich KUSHAKOV","Individual","So-called ‘Minister of Education and Science’ of the so-called ‘People’s Republic of Donetsk’","Donetsk","Australia (DFAT)","2022-05-04","1958-11-23","Moldova","7108","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 14) Instrument 2022"
"Oksana Aleksandrovna TCHIGRINA","Individual","Previously listed under 'Ukraine criteria' - Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment List 2014 [F2014L01184]; New listing start date 27 Aug 2023","Donetsk","Australia (DFAT)","2023-08-27","23/07/1981, 01/08/1980","Ukraine","7648","Instrument of first designation: Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 10) Instrument 2023"
"Olga Pavlovna KOLUDAROVA","Individual","Minister of Education and Science of the so-called “Donetsk People’s Republic”","Donetsk","Australia (DFAT)","2025-02-24","1983-12-16","Russia","8054","Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Russia and Ukraine) Amendment (No. 1) Instrument 2025"
"Railways of Novorossiya Federal State Unitary Enterprise","Entity","https://gd-n.ru/","Donetsk","Australia (DFAT)","2025-02-24","","","8128","Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Russia and Ukraine) Amendment (No. 1) Instrument 2025"
"Roman Viktorovich LYAGIN","Individual","Previously listed under 'Ukraine criteria' - Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment List 2014 [F2014L01184]; New listing start date 27 Aug 2023","Donetsk","Australia (DFAT)","2023-08-27","1980-05-30","Ukraine","7630","Instrument of first designation: Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 10) Instrument 2023"
"Ruslan Mihajlovich DUBOVSKIY","Individual","So-called ‘Minister of Coal and Energy’ of the so-called ‘People’s Republic of Donetsk’","Donetsk","Australia (DFAT)","2022-05-04","1974-02-20","Ukraine","7115","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 14) Instrument 2022"
"SHIN Geum Cheol","Individual","Head of the Democratic People’s Republic of Korea’s (DPRK) Main Operational Directorate","Donetsk","Australia (DFAT)","2025-02-24","1970-01-01","Democratic People's Republic of Korea","8037","Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Russia and Ukraine) Amendment (No. 1) Instrument 2025"
"Sergei Sergeevich NAUMETS","Individual","So-called ‘Minister of Construction, Housing, and Communal Services’ of the so-called ‘People’s Republic of Donetsk’","Donetsk","Australia (DFAT)","2022-05-04","1976-07-13","Ukraine","7112","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 14) Instrument 2022"
"Sergey Nikolayevich DUBINSKIY","Individual","Former so-called ‘head’ of the Military Intelligence Agency of the ‘People’s Republic of Donetsk’ and convicted by the District Court of The Hague for the downing of Flight MH17 on 17 November 2022.","Donetsk","Australia (DFAT)","2023-06-24","1962-08-09","Russia","7559","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 5) Instrument 2023"
"Tatyana Viktorovna PEREVERZEVA","Individual","So-called ‘Deputy Minister of Finance’ of the so-called ‘People’s Republic of Donetsk’","Donetsk","Australia (DFAT)","2022-05-04","1964-06-20","","7103","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 14) Instrument 2022"
"Ulan-Ude Aviation Plant Joint Stock Company","Entity","Company identification number: 1020300887793; https://rabotauuaz.ru/o-predpriyatii#O_predpriyati","Donetsk","Australia (DFAT)","2023-07-20","","","7583","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 8) Instrument 2023"
"Vitaliy Pavlovich KHOTSENKO","Individual","So-called ‘Chairperson’ or ‘Prime Minister’ of the self-proclaimed ‘government’ of the so-called ‘People’s Republic of Donetsk’ in Ukraine","Donetsk","Australia (DFAT)","2022-09-30","1986-03-18","Russia","7272","Instrument of first designation
and declaration
Autonomous Sanctions (Designated Persons and
Entities and Declared Persons—Russia and
Ukraine) Amendment (No. 21) Instrument 2022"
"Vladimir Mikhailovich RUSHHAK","Individual","So-called ‘Minister of Industry and Trade’ of the so-called ‘People’s Republic of Donetsk’","Donetsk","Australia (DFAT)","2022-05-04","1971-09-02","","7110","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 14) Instrument 2022"
"Vladimir Nikolaevich ANTONOV","Individual","So-called ‘Deputy of the Chair of the Government’ of the so-called ‘People’s Republic of Donetsk’","Donetsk","Australia (DFAT)","2022-05-04","1979-12-24","","7102","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 14) Instrument 2022"
"Vladimir PAVLENKO","Individual","So-called 'Minister of State Security' of the so-called 'People's Republic of Donetsk'","Donetsk","Australia (DFAT)","2022-05-04","1962-04-14","","7098","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 14) Instrument 2022"
"Vladimir Vladimirovich EZHIKOV","Individual","So-called ‘Deputy Chairperson’ and chief of staff of the self-proclaimed ‘government’ of the so called ‘People’s Republic of Donetsk’ in Ukraine","Donetsk","Australia (DFAT)","2022-09-30","1987-06-20","Russia","7271","Instrument of first designation
and declaration
Autonomous Sanctions (Designated Persons and
Entities and Declared Persons—Russia and
Ukraine) Amendment (No. 21) Instrument 2022"
"Yana Sergeevna CHAUSOVA","Individual","So-called ‘Minister of Finance’ of the so-called ‘People’s Republic of Donetsk’","Donetsk","Australia (DFAT)","2022-05-04","1980-09-22","Ukraine","7116","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 14) Instrument 2022"
"Yurii Oleksandrovych PROTSENKO","Individual","Previously listed under 'Ukraine criteria' - Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment List 2014 [F2014L01184]; New listing start date 27 Aug 2023","Donetsk","Australia (DFAT)","2023-08-27","1963-09-08","Ukraine","7640","Instrument of first designation: Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 10) Instrument 2023"
"Yuriy Nikolaevich SIROVATKO","Individual","So-called ‘Minister of Justice’ of the so-called ‘People’s Republic of Donetsk’","Donetsk","Australia (DFAT)","2022-05-04","1978-04-17","Ukraine","7118","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 14) Instrument 2022"
"Iгор Миколайович ХАЛЕПА","Individual","Former so-called “Minister of Communications” of the so-called “Donetsk People’s Republic”","Donetsk","EU","2022-04-08","1969-05-19","","EU.7907.76","UKR — 2024/849 (OJ L13032024)"
"Iгор Юрiйович АНТИПОВ","Individual","Former so-called ‘Minister of Information’ of the so-called ‘Donetsk People's Republic’","Donetsk","EU","2022-04-08","1961-05-26","","EU.7895.81","UKR — 2024/849 (OJ L13032024)"
"Leonid Eduardovich SLUTSKI","Individual","Chairman of the LDPR party, \nHead of the State Duma LDPR faction,  \nChairperson of the Foreign Affairs Committee of the State Duma of the Russian Federation.","Donetsk","EU","2014-03-17","1968-01-04","","EU.3646.69","UKR — 2023/571 (OJ L75 I)"
"Євген Євгенович ЛАВРЕНОВ","Individual","Former so-called “Minister of Income and Fees” of the so-called “Donetsk People’s Republic”","Donetsk","EU","2022-04-08","1979-12-05","","EU.7899.77","UKR — 2023/571 (OJ L75 I)"
"Александр Евгеньевич АНАНЧЕНКO","Individual","Former so-called “Prime Minister” of the so-called “Donetsk People’s Republic”.\nFormer Member of the Federation Council Committee on Federal Structure, Regional Policy, Local Self-Government and Northern Affairs","Donetsk","EU","2022-04-08","1966-02-02","","EU.7893.83","UKR — 2024/849 (OJ L13032024)"
"Артем Александрович КРАМАРЕНКО","Individual","So-called “Deputy Chairman of the Government” and so-called “Minister of Agro-Industrial Policy and Food” of the so-called “Donetsk People’s\nRepublic”.","Donetsk","EU","2022-04-08","1980-01-13","","EU.7896.80","UKR — 2025/527 (OJ L202500527)"
"Владимир Сергеевич КИРИЕНКО","Individual","CEO of VK Company Limited, the parent company of Russia’s top social media platform, VKontakte.\n\nFormer First Vice President of the Russian State-controlled company Rostelecom (2017-2021)\n\nChairman of the Board of Directors of LLC Capital since 2011\n\nFormer Chairman of the Board of Directors of Nizhegorodpromstroybank (2008-2011)","Donetsk","EU","2022-03-09","1983-05-27","","EU.7683.96","UKR — 2022/396 (OJ L80)"
"Володимир Вiкторович ПАВЛЕНКО","Individual","Former so-called ‘Minister of State Security’ of the so-called ‘Donetsk People's Republic’","Donetsk","EU","2022-04-08","1962-04-14","","EU.7892.84","UKR — 2025/527 (OJ L202500527)"
"КОРПОРАЦИЯ РАЗВИТИЯ ДОНБАССА","Entity","State Corporation “Donbass Development Corporation” is an entity founded by the so-called “Donetsk People’s Republic”, to ensure the economic development of the Ukrainian region occupied by Russia.","Donetsk","EU","2024-12-16","","","EU.12617.26","UKR — 2024/3183 (OJ L16122024)"
"Михайло Васильович ЖЕЛТЯКОВ","Individual","So-called ‘Minister of Culture’ of the so-called ‘Donetsk People’s Republic’","Donetsk","EU","2022-04-08","1961-01-01","","EU.7902.81","UKR — 2022/581 (OJ L110)"
"Михайло Миколайович КУШАКОВ","Individual","Former so-called “Minister of Education and Science” of the so-called “Donetsk People’s Republic”.\nRector of the Donbass Law Academy.","Donetsk","EU","2022-04-08","1958-11-23","","EU.7904.79","UKR — 2023/1765 (OJ L226)"
