Official ID,Name (Latin),Name (Cyrillic),Territory,Role / Position,Level,Location,Year Start,Year End,Still in Post?,Origin,Career Before,Career After,Links to Other Officials,Links to Russian State Bodies,Business / Economic Connections,Military Connections,Notes on Role
OFC-342,Lagoyskyy Artyom Alekseyevich,Лагойский Артем Алексеевич,Kherson Oblast,Minister of Culture of Kherson Oblast,Regional,Henichesk,2024,,Yes,From Kherson,,,,Kherson Oblast Ministry of Culture.,,,Full Culture Minister. Relevant to Identity Replacement — oversees cultural Russification programme.
OFC-343,Zapuskalov Sergei Gennadyevich,Запускалов Сергей Геннадьевич,Kherson Oblast,Minister of Resorts and Tourism of Kherson Oblast,Regional,Henichesk,2024,,Yes,Likely from Chelyabinsk (tax account reg.),,,,Kherson Oblast Ministry of Tourism.,Tourism sector.,,Full Tourism Minister. Current.
OFC-344,Yarchenko Vladislav Vladimirovich,Ярченко Владислав Владимирович,Kherson Oblast,Minister of Youth Policy of Kherson Oblast,Regional,Henichesk,2024,,Yes,"Krasnodar Krai, Russia",,,,Kherson Oblast Ministry of Youth Policy.,,,"Full Youth Policy Minister. Relevant to Identity Replacement and youth militarisation dimensions. Announced plans to create a network of youth spaces in the region in 2026, with first spaces in Henichesk and Skadovsk."
OFC-346,Bystryiantsev Nikolai Yuryevich,Быстрянцев Николай Юрьевич,Kherson Oblast,Minister of Natural Resources and Ecology of Kherson Oblast,Regional,Henichesk,2024,,Yes,From Crimea,,,,Kherson Oblast Ministry of Natural Resources.,Natural resources sector.,,Full Natural Resources and Ecology Minister. Current.
OFC-347,Kirillova Elena Alexandrovna,Кириллова Елена Александровна,Kherson Oblast,Acting Minister of Sport of Kherson Oblast,Regional,Henichesk,2024,,Yes,"From Yalta, Crimea",,,,Kherson Oblast Ministry of Sport.,,,Acting Sport Minister. Current.
OFC-349,Savransky Pavel Vasilyevich,Савранский Павел Васильевич,Kherson Oblast,Minister of Fuel-Energy Complex of Kherson Oblast,Regional,Henichesk,2024,,Yes,Likely from Krasnodar Krai (tax account registration),,,,Kherson Oblast Ministry of Energy.,Energy sector.,,Full Energy Minister. Oversees electricity and fuel integration into Russian grid.
OFC-350,Tereshchenko Anatoly Nikolaevich,Терещенко Анатолий Николаевич,Kherson Oblast,Acting Minister / Head of Roads and Transport Infrastructure Management of Kherson Oblast,Regional,Henichesk,2024,,Yes,"From Sevastopol, Crimea",,,,Kherson Oblast transport ministry.,Transport infrastructure.,Road infrastructure has military logistics significance.,Acting transport minister. Current.
OFC-351,Ostrovskaya Marina Alexandrovna,Островская Марина Александровна,Kherson Oblast,Acting Minister of Labour and Social Protection of Kherson Oblast,Regional,Henichesk,2024,,Yes,"From Mocow, Russia",,,,Kherson Oblast Ministry of Labour.,,,Acting Labour and Social Protection Minister. Oversees pension/benefit integration — key Economic Dependency mechanism.
OFC-352,Rassadina Yulia Nikolayevna,Рассадина Юлия Николаевна,Kherson Oblast,Acting Minister of Finance of Kherson Oblast,Regional,Henichesk,2024,,Yes,From Russia,,,,Kherson Oblast Ministry of Finance.,,,Acting Finance Minister. Oversees budget integration with Russian federal system.
OFC-353,Borodin Nikita Alexandrovich,Бородин Никита Александрович,Kherson Oblast,Minister of Digital Development and Mass Communications of Kherson Oblast,Regional,Henichesk,2024,,Yes,Likely from Penza Oblast (tax account reg.),,,,Kherson Oblast digital ministry.,,,"Full Digital Development Minister. Oversees internet infrastructure replacement, communications control, and surveillance. Key Digital Enclosure dimension figure."
OFC-354,Kiriyenko Georgy Sergeyevich,Кириенко Георгий Сергеевич,Kherson Oblast,Minister of Industry and Trade of Kherson Oblast,Regional,Henichesk,2024,,Yes,Likely from Moscow (tax account reg.),,,,Kherson Oblast Ministry of Industry and Trade.,Industry and trade.,,Full Industry and Trade Minister. Current.
OFC-355,Musayev Ervin Kyazimovich,Мусаев Эрвин Кязимович,Kherson Oblast,Minister of Economic Development of Kherson Oblast,Regional,Henichesk,2024,,Yes,"Crimean Tatar origin, likely transferred from Crimea",,,,Kherson Oblast Ministry of Economic Development.,Economic development integration.,,Full Economic Development Minister. Current.
OFC-357,Ivashchenko Konstantin Vladimirovich,Иващенко Константин Владимирович,DPR,Head of Mariupol Occupation Administration,City,Mariupol,2022,2023,No,"Ukrainian-born, collaborator",Part of Sablin network operating from Russia pre-occupation.,"Replaced by Morgun when FSB formally took control of DPR; reportedly poisoned — most verified version attributes to Ukrainian special services, though blame publicly directed at FSB as part of information operation.","Sablin Dmytro (patron); Morgun Oleg (successor); Zolotov (Left Bank district head — his ally, later dismissed).",Sablin network; GRU MO Russia (indirect).,"Controlled metal scrap operations: collected from Azovmash and Azovstal enterprises, sold at 32,000 roubles/tonne in Rostov-on-Don; paid metal scrap collectors 2,000 roubles/tonne; Chechen Kadyrov-linked groups shared proceeds.",,"Led Mariupol administration under Sablin group influence. Managed metal scrap extraction from industrial enterprises through Kadyrov-linked criminal networks. Dismissed when FSB formally took control of DPR and Kiriyenko influence grew. Fate uncertain — document reports poisoning, circumstances disputed."
OFC-358,Nosenko Oleg Grigorievich,Носенко Олег Григорьевич,DPR,Chairman of Mariupol City Council,City,Mariupol,2023,,Unknown,"Ukrainian-born, collaborator","Deputy head of operational-technical department, Mariupol MVS; deputy head of 7th directorate; head of operational service, Mariupol UMVS (city police). Collaborated with DPR from 2014, served in operational service role for DPR occupation authority.","Attacked September 2024 — partisan attack, struck on head with brick on Sportivna St, serious traumatic brain injury, treated in intensive care. Status post-attack unclear.",Morgun Oleg (former boss — served as his adviser before appointment),United Russia (confirmed member in Mariupol UR database); DPR city council,,Former MVS (police) career; DPR security service role 2014 onward,"Appointed ""chairman of city council"" September 2023 without elections — decision taken by occupation-controlled deputy corps. Former MVS career gave him security service background useful to occupation. Organised elections under Russian scenario as Morgun adviser. Targeted by partisan attack September 2024 — confirms active resistance to named collaborators in Mariupol. Confirmed in United Russia membership database (entry ~153-155)."
OFC-359,Kharmyshev Evgeny Alexandrovich,Хармышев Евгений Александрович,DPR,Former Deputy Head of Mariupol Administration; Head of United Russia and People's Front structures in Mariupol,City,Mariupol,2022,,Yes,"Ukrainian-born, collaborator",Deputy head of Mariupol occupation administration.,Moved from deputy head to head of United Russia and People's Front political structures in Mariupol.,Sablin Dmytro (close individual); Ivanov Petro (close associate); Morgun Oleg (supported).,United Russia; People's Front (DPR); Sablin network.,,,"Described as ""the brains of the occupation on the ground"" in Mariupol. Manages United Russia political operations in city with Morgun's full support. Oversees Russian electoral processes in Mariupol. Maintains relative independence from all factions while staying close to Sablin and Ivanov networks."
OFC-360,Dmitriev Alexander Vladimirovich,Дмитриев Александр Владимирович,DPR,Deputy Head of Mariupol Occupation Administration; Head of Housing and Communal Services Management,City,Mariupol,2023,,Yes,"Ukrainian-born, collaborator",Absent from Mariupol before occupation; returned 2023 at invitation of Morgun.,,"Morgun Oleg (patron — described as his ""corruption wallet"").",DPR administration; Mytropolytska 20 building management.,Controls resource distribution; manages buildings including Mytropolytska 20; ensures functioning of occupation structures including military commandantures.,Manages military commandanture support functions.,"Returned to occupied Mariupol in 2023 at Morgun's invitation. Appointed deputy head of administration and heads housing and communal services management (ZhKH). Described as Morgun's ""corruption wallet"" — manages financial flows through resource distribution and building management. Also appears in HUMINT appendix as entry 23 (Дмитриев Александр Владимирович — same person, transliteration variant)."
OFC-361,Bodaghin Evgeny,Бодягин Евгений,DPR,Adviser to Head of Mariupol Administration / Deputy Head of Administration,City,Mariupol,2022,2025,No,"Ukrainian-born, collaborator",,Arrested autumn 2024 for corruption and bribery; offered to testify against colleagues in exchange for leniency; sentenced May 2025. His arrest significantly damaged corruption networks within Mariupol small business sector.,Morgun Oleg (served as adviser); Sablin group (loosely aligned).,DPR administration; FSB (his arrest was FSB-driven as part of power struggle).,Managed corruption networks involving small businesses in Mariupol.,,Adviser to Morgun and reportedly held deputy head role. Arrested in autumn 2024 by FSB as part of the broader purge of Morgun's network. Agreed to testify against colleagues. Sentenced May 2025. Arrest was a key instrument in FSB's reassertion of control over Mariupol against the Sablin/Morgun faction. Note:  Bodagina Viktoria Sergeevna (Бодягина Виктория Сергеевна) appears in UR database (DOB 09.05.1980) — possibly female relative.
OFC-362,Perepechay Bogdan,Перепечай Богдан,DPR,First Deputy Head of Mariupol Occupation Administration,City,Mariupol,2022,2024,No,"Local resident of Mariupol, occupation administration employee",,Multiple criminal cases opened autumn 2024; completely disappeared from public life. Status unknown.,Morgun Oleg (superior).,DPR administration.,,,"First Deputy Head of Mariupol administration under Morgun. Targeted in FSB's autumn 2024 purge of Morgun's network alongside Bodaghin. Multiple criminal cases opened, disappeared entirely from public view. First name not confirmed in available sources."
OFC-365,Sablin Dmitry Vadimovich,Саблин Дмитрий Вадимович,Multiple,Russian State Duma Deputy; Key power broker and patron for Mariupol occupation network,Regional,Moscow / Mariupol,2022,,Yes,"Ukrainian-born, Russian career",Duma deputy 4th-6th convocations from 2003; senator for Moscow Oblast 2013-2016; returned as deputy 2016. First deputy head of Boyevoye Bratstvo veterans organisation. Deputy chair of Duma defence committee. Coordinator of Duma group for DPR/LPR.,,"Ivanov Petro (co-organiser Russian Spring 2014, close associate); Kharmyshev Evgeny (close); Morgun Oleg (patron, protected after fall); Ivashchenko (former client, now removed); Koltsov Anton (new administration — losing influence).",United Russia; State Duma defence committee; Boyevoye Bratstvo; BARS Kaskad drone unit (joined 2022).,"20% stake in Vyna Arpachyna winery. Net worth Forbes top-100 Russia: 168m roubles 2020, 402m 2021. Co-founder of Antimaydan ultraconservative movement.",Voluntarily joined BARS Kaskad drone unit 2022 — commanded operations near Mariupol and Zaporizhzhia Oblast. Hero of Russia 2024. Awarded Order of Courage.,"Born in Mariupol, uses ""local patriot"" identity. One of the principal organizers of Russian Spring 2014 alongside Petro Ivanov. Personally oversaw ER humanitarian centres in Mariupol 2022-2023. Led group pushing for Mariupol's direct financial subordination to Moscow (bypassing Donetsk) — opposed by Pushilin/FSB group. His group (Sablin group) lost the power struggle after the referendum. Attended first school bell at Mariupol School No. 65 in September 2022 carrying a pistol — caused scandal. Sanctioned US, EU, UK, Canada, New Zealand, Ukraine for supporting annexation and fraudulent referendums. As of June 2025 protecting Morgun from criminal prosecution."
OFC-366,Ivanov Pyotr Vladimirovich,Иванов Петр Владимирович,DPR,Criminal authority / informal power broker in Mariupol,City,Mariupol,2022,,Yes,"Ukrainian-born, collaborator","Former Mariupol city council deputy (Party of Regions). Co-organiser of pro-Russian rallies and Russian Spring 2014 with Sablin. Financed separatist initiatives. Had status of de-facto ""smotryashchiy"" (overseer) for Mariupol in 2014.",,Sablin Dmytro (long-standing close associate — co-organised Russian Spring 2014); Kharmyshev Evgeny (close),Party of Regions (former); DPR structures (indirect).,Controls entire criminal economy including drugs and prostitution in Mariupol. Heads occupation boxing federation. Retains entrepreneurial and administrative base. Coordinated reconstruction management and resource allocation for occupiers from Russia 2022-2023.,,"Identified as criminal authority controlling organised crime in Mariupol under occupation. Former city council deputy who transitioned to informal power broker role. Coordinated all activity in Mariupol from Russia 2022-2023 including reconstruction management. Currently has limited but sufficient influence for key decisions. His connection to Sablin predates 2014. Document notes he ""retains entrepreneurial and administrative base"" in Mariupol."
OFC-367,Soldatov Alexander Grigoryevich,Солдатов Александр Григорьевич,DPR,Head of GUP DPR 'Administration of the Sea Port of the City of Mariupol',Sector,Mariupol,2022,,Yes,"Ukrainian-born, collaborator",Individual entrepreneur (IE) registered in Mariupol.,,,GUP DPR (state unitary enterprise); DPR Ministry of Transport (supervising body).,"Port administration — state entity managing port operations. Revenue ~183m roubles, net loss ~54m roubles (2024). Port handles coal, grain, metal export. Private structures extract value through intermediaries including offshore Green Rabbit Limited while state entity absorbs costs. Authorised capital: 237,403,756 roubles.","Port used for military logistics; main channel blocked by military vessel ""Donbass"".",Heads the official state port administration — a deliberately loss-making state structure that absorbs infrastructure costs while private companies extract export revenues through the port. Key figure in the resource extraction economy of occupied Mariupol. The dual structure (state nonprofit + private profit) is described as a deliberate scheme by the occupation authority.
OFC-368,Onatsky Valery Anatolyevich,Онацкий Валерий Анатольевич,DPR,Head of ideological work with children; de facto head of all youth organisations in Mariupol,Sector,Mariupol,2022,,Yes,"Ukrainian-born, collaborator","Founded NGO Iskrennost (sincerity) ostensibly helping at-risk teenagers; used it to create football sections and car wash, received financial support from MMK im. Ilicha management. From early 2010s Iskrennost used to recruit teenagers to Antimaydan; members wore St George ribbons and participated in pro-Russian events. 2019: became city council deputy from OPZZH (ОПЗЖ) party.",,"Averkin Nikita (described as Onatskyy's ""public face"")",United Russia (confirmed member); DPR youth structures; Yunarmiya and other youth military organisations.,,Youth militarisation — all youth organisations in Mariupol.,Controls all ideological work with children and de facto heads all youth organisations in Mariupol under occupation. His NGO Iskrennost was used as a vehicle for pro-Russian youth recruitment from at least 2010-2011 — a decade of pre-occupation groundwork. Key figure for Identity Replacement and youth militarisation dimensions. Uses Averkin as his public-facing representative.
OFC-369,Averkin Nikita Alexandrovich,Аверкин Никита Александрович,DPR,"Head of Youth Policy Department, Mariupol administration; MGER leader Mariupol; Mariupol city council deputy",Sector,"Mariupol — Shevchenko Boulevard 305, apt 86",2022,,Yes,"Ukrainian-born, collaborator",,Convicted in absentia in Ukraine to 10 years imprisonment with confiscation of property for state treason and collaboration — convicted for performing official duties in illegal DPR bodies.,"Onatsky Valery (mentor/patron — Averkin described as his ""public face"").",United Russia (MGER — Young Guard of United Russia); DPR city council; Mariupol administration.,,Youth militarisation through MGER structures.,Head of youth policy department from July 2022. Simultaneously leads MGER (Young Guard of United Russia) in Mariupol and serves as city council deputy. Public face of Onatsky's ideological programme. Key figure for Identity Replacement — directly manages youth programmes. Convicted in absentia by Ukrainian courts.
OFC-370,Orleansky Sergei Evgenyevich,Орлеанский Сергей Евгеньевич,DPR,"Head of Emergency Hospital, Mariupol; United Russia figure",Sector,Mariupol,2022,,Yes,"Ukrainian-born, collaborator",Hospital director pre-occupation.,,Morgun Oleg (supported by); Kharmyshev Evgeny (backed by United Russia network).,United Russia (confirmed member in UR Mariupol database).,,Hospital serves wounded Russian military personnel.,"Head of emergency hospital, backed by Morgun and the United Russia network as a key local institutional figure. Confirmed United Russia member via leaked database. Hospitals in occupied Mariupol serve dual civilian-military function. РОВ source: evidence of abuse of wounded Ukrainian soldiers in his care. Former BVB (not United Russia) city council deputy."
OFC-372,Klisak Natalya Alexandrovna,Клисак Наталья Александровна,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 1 in HUMINT appendix of department-level occupation administration staff obtained by Centre for the Study of Occupation. Specific department not confirmed.
OFC-373,Shiyan Anna Igorevna,Шиян Анна Игоревна,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 2 in HUMINT appendix.
OFC-374,Matrosova Marina Anatolyevna,Матросова Марина Анатольевна,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 3 in HUMINT appendix.
OFC-375,Bolotnyuk Angelina Vasilyevna,Болотнюк Ангелина Васильевна,DPR,"Head of Department / Chief Accountant, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,Chief Accountant role — manages financial flows.,,TIER 4 — HUMINT SOURCE. Entry 4. Dual role: department head and chief accountant — financially significant position.
OFC-376,Istratova Irina Yaroslavovna,Истратова Ирина Ярославовна,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 5.
OFC-377,Safronov Igor Ivanovich,Сафронов Игорь Иванович,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 6.
OFC-378,Andrushchenko Elena Nikolaevna,Андрущенко Елена Николаевна,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 7.
OFC-379,Sergiyenko Alexei Nikolaevich,Сергиенко Алексей Николаевич,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 8.
OFC-380,Voytenko Spartak Nikolaevich,Войтенко Спартак Николаевич,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 9.
OFC-381,Golovan Elena Vladimirovna,Головань Елена Владимировна,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 10.
OFC-382,Zabelin Andrei Vladimirovich,Забелин Андрей Владимирович,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 11.
OFC-383,Vovchenko Gennady Olegovich,Вовченко Геннадий Олегович,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 12.
OFC-384,Kobzev Oleg Vitalyevich,Кобзев Олег Витальевич,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 13.
OFC-386,Bystrova Marianna Andreyevna,Быстрова Марианна Андреевна,DPR,"Head of Department / Architect, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,Klochkova Natalya (urban planning dept).,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 15. Works in architecture/urban planning alongside Klochkova.
OFC-387,Seliverstova Ksenia Alexandrovna,Селиверстова Ксения Александровна,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 16.
OFC-388,Fedyna Natalya Vyacheslavovna,Федына Наталья Вячеславовна,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 17.
OFC-389,Burlachenko Elena Grigoryevna,Бурлаченко Елена Григорьевна,DPR,"Head of Department (Management level), Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,"TIER 4 — HUMINT SOURCE. Entry 18. Listed as ""Начальник управления"" (head of management/directorate) — slightly more senior than department head."
OFC-390,Lyutaya Victoria Vladimirovna,Лютая Виктория Владимировна,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 19.
OFC-391,Litvikh Marina Vasilyevna,Литвих Марина Васильевна,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 20.
OFC-392,Levchuk Irina Nikolaevna,Левчук Ирина Николаевна,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 21.
OFC-393,Gavrish Yana Olegovna,Гавриш Яна Олеговна,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 22.
OFC-394,Burskaya Elena Evgenyevna,Бурская Елена Евгеньевна,DPR,"Head of Department / Chief Accountant, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,Chief Accountant role.,,TIER 4 — HUMINT SOURCE. Entry 24. Dual role as department head and chief accountant.
OFC-395,Slyusarenko Yulia Ivanovna,Слюсаренко Юлия Ивановна,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 25.
OFC-396,Kukharenkova Olga Pavlovna,Кухаренкова Ольга Павловна,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 26.
OFC-397,Demchenko Larisa Anatolyevna,Демченко Лариса Анатольевна,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 27.
OFC-398,Zasulskaya Natalya Yuryevna,Засульская Наталья Юрьевна,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 28.
OFC-399,Miroshnichenko Yana Sergeyevna,Мирошниченко Яна Сергеевна,DPR,"Head of Management (Directorate), Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,"TIER 4 — HUMINT SOURCE. Entry 29. Listed as ""Начальник управления"" — directorate head level."
OFC-400,Khalpakhchi Natalia Vasilyevna,Халпахчи Наталия Васильевна,DPR,"Deputy Head of Directorate, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 30. Deputy directorate head.
OFC-401,Shaposhnikov Evgeny Nikolaevich,Шапошников Евгений Николаевич,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 31.
OFC-402,Baranova Alla Alexandrovna,Баранова Алла Александровна,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 32.
OFC-403,Orlenko Natalya Viktorovna,Орленко Наталья Викторовна,DPR,"Head of Department / Chief Accountant, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,Chief Accountant role.,,TIER 4 — HUMINT SOURCE. Entry 33. Dual role as department head and chief accountant.
OFC-404,Tkachenko Yulia Viktorovna,Ткаченко Юлия Викторовна,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 34.
OFC-405,Zelenyuk Irina Olegovna,Зеленюк Ирина Олеговна,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 35.
OFC-406,Shevchenko Mikhail Alexandrovich,Шевченко Михаил Александрович,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 36.
OFC-407,Shevchenko Yuri Alexandrovich,Шевченко Юрий Александрович,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,Shevchenko Mikhail (same surname — possible relation).,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 37.
OFC-408,Salgalov Vyacheslav Sergeyevich,Салгалов Вячеслав Сергеевич,DPR,"Head of Directorate, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,"TIER 4 — HUMINT SOURCE. Entry 38. Listed as ""Начальник управления"" — directorate level."
OFC-409,Balaban Vitaly Alexandrovich,Балабан Виталий Александрович,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 39.
OFC-410,Mateyko Elena Alexandrovna,Матейко Елена Александровна,DPR,"Head of Directorate, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 40. Directorate head level.
OFC-411,Solodukha Galina Yuryevna,Солодуха Галина Юрьевна,DPR,"Deputy Head of Directorate, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 41. Deputy directorate head.
OFC-413,Klenin Boris Vitalyevich,Кленин Борис Витальевич,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 43.
OFC-414,Uzun Elena Valentinovna,Узун Елена Валентиновна,DPR,"Head of Directorate, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 44. Directorate head level.
OFC-415,Bodyagina Victoria Sergeyevna,Бодягина Виктория Сергеевна,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,Bodaghin Evgeny (possible relation — same surname),Mariupol occupation administration; United Russia (confirmed in UR database).,,,"TIER 4 — HUMINT SOURCE. Entry 45. Also confirmed in United Russia Mariupol database (131.pdf, entry ~658). Possible relation to Bodaghin Evgeny — same surname, both in Mariupol administration."
OFC-416,Pogibayeva Svetlana Valentinovna,Погибаева Светлана Валентиновна,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 46.
OFC-417,Gerasimenko Yulia Vyacheslavovna,Герасименко Юлия Вячеславовна,DPR,"Head of Department, Mariupol occupation administration",Sector,Mariupol,2022,,Unknown,"Local resident of Mariupol, occupation administration employee",,,,Mariupol occupation administration.,,,TIER 4 — HUMINT SOURCE. Entry 47.
