date,quarter,channel,region_group,hub_themes,topics,summary,media_type
2025-08-07,Q3-2025,Вести в 20:00,Zaporizhzhia,Governance;Civilian Life;Education and Militarisation;Coercion Resistance and Security;Accountability and Legal,collaborator security,Unknown content insufficient for summary.,video/audio transcript
2025-08-07,Q3-2025,Военкор Котенок,Donetsk (DPR),Front / SVO (non-Hub),strikes on military targets,Tactical report on Konstantivka direction documenting Russian advances and counter-attacks.,text post
2025-08-07,Q3-2025,Военный обозреватель,Crimea/Sevastopol,,,Claims Ukrainian forces attacked targets after US reconnaissance aircraft identified them over Black Sea.,text post
2025-08-07,Q3-2025,Военный обозреватель,Crimea/Sevastopol,,,Reports at least nine Storm Shadow/SCALP cruise missiles shot down over Crimea territory.,text post
2025-08-07,Q3-2025,Время покажет,Donetsk (DPR),,,Asks about supply difficulties for construction materials from neighbouring countries to Mariupol.,video/audio transcript
2025-08-07,Q3-2025,Время покажет,Kherson,Identity Culture and Religion,,Reports prisoner exchanges; notes Ukrainian soldiers from various regions including Kherson captured.,video/audio transcript
2025-08-07,Q3-2025,ГАСПАРЯН,Luhansk (LPR),Coercion Resistance and Security,,Says FSB detained resident from Svatoye district for transmitting Russian military data to Kyiv intelligence.,video/audio transcript
2025-08-07,Q3-2025,Два майора,Zaporizhzhia,Economics;Civilian Life;Information Space;Accountability and Legal;Front / SVO (non-Hub),,"Lengthy military summary describing Russian operations, equipment deployment and claimed territorial control across multiple sectors.",video/audio transcript
2025-08-07,Q3-2025,Два майора,Crimea/Sevastopol,,strikes on military targets,Posts video allegedly showing Ukrainian drone attacks on Crimea radar stations; notes drone losses and damage to equipment.,text post
2025-08-07,Q3-2025,Денацификация UA,Luhansk (LPR),Coercion Resistance and Security,,Reports resident detained for transmitting Russian military data to Ukrainian special services.,text post
2025-08-07,Q3-2025,Денацификация UA,Zaporizhzhia,,,Reports Russian drones struck Krivyi Rih and Pavlohrad in Dnipropetrovska.,text post
2025-08-07,Q3-2025,Донбасс Сегодня,Luhansk (LPR),Governance;Education and Militarisation;Accountability and Legal,mobilisation and conscription,Reports LNR prosecutor's office helped widow establish paternity rights using deceased soldier's biological material.,video/audio transcript
2025-08-07,Q3-2025,Донбасс решает,Luhansk (LPR),,,Reports that Acacia-B artillery destroyed Ukrainian strongpoints and drone launch sites in Luhansk.,text post
2025-08-07,Q3-2025,Донбасс решает,Donetsk (DPR),Front / SVO (non-Hub),strikes on military targets,Russia claims T-72B3 tank destroyed enemy fortified position near Krasnarmiysk with drone reconnaissance support.,text post
2025-08-07,Q3-2025,Кирилл Фёдоров / Война История Оружие,Luhansk (LPR),,,Reports LNR detained man accused of directing Ukrainian strikes against Russian military personnel.,video/audio transcript
2025-08-07,Q3-2025,Кирилл Фёдоров / Война История Оружие,Kherson,,,"Claims Lancet drone destroyed Ukrainian M777 howitzer on Dnipro right bank, Kherson.",video/audio transcript
2025-08-07,Q3-2025,Крым 24 | Новости Крыма и Севастополя,Crimea/Sevastopol,,,Lists membership in ecological and geographical societies in Crimea.,video/audio transcript
2025-08-07,Q3-2025,Крым 24 | Новости Крыма и Севастополя,Crimea/Sevastopol,,,Poses question about 35 billion rubles allocation to Crimea.,video/audio transcript
2025-08-07,Q3-2025,Крым 24 | Новости Крыма и Севастополя,Crimea/Sevastopol,,,Interviewer notes agricultural products from Kherson region closer to Crimea facilitate regional trade.,video/audio transcript
2025-08-07,Q3-2025,Крым 24 | Новости Крыма и Севастополя,Kherson,,,Notes Ukrainian civilians now living on Russian-controlled Kherson side of Dnipro.,video/audio transcript
2025-08-07,Q3-2025,МАРИУПОЛЬ 24,Luhansk (LPR),Front / SVO (non-Hub),,Says a volunteer participated in the seizure of towns in Donetsk and Luhansk during the special operation.,video/audio transcript
2025-08-07,Q3-2025,МАРИУПОЛЬ 24,Donetsk (DPR),Civilian Life;Identity Culture and Religion,,Reports sports official praises volunteers assisting youth sports development in Mariupol.,video/audio transcript
2025-08-07,Q3-2025,МАРИУПОЛЬ 24,Donetsk (DPR),Economics;Front / SVO (non-Hub),,Discusses Mariupol's earlier status and mentions military operations framed as liberation from DPR.,video/audio transcript
2025-08-07,Q3-2025,Марочко Live,Crimea/Sevastopol,Civilian Life,,Questions whether Crimea remains top target for Kyiv; reports train delays.,video/audio transcript
2025-08-07,Q3-2025,Марочко Live,Luhansk (LPR),,,Military expert discusses Ukrainian counterattacks and potential Russia-US peace negotiations.,video/audio transcript
2025-08-07,Q3-2025,Олег Лурье,Zaporizhzhia,Economics;Civilian Life;Information Space;Accountability and Legal;Front / SVO (non-Hub),,Reports military situation across multiple operational directions; describes Russian tactical movements and strategic positioning.,text post
2025-08-07,Q3-2025,Олег Царёв,Zaporizhzhia,Economics;Civilian Life;Education and Militarisation;Accountability and Legal,fuel;strikes on civilians;strikes on military targets,Claims Russian air defences destroyed significant Ukrainian drone and missile strikes.,video/audio transcript
2025-08-07,Q3-2025,Операция Z: Военкоры Русской Весны,Crimea/Sevastopol,Front / SVO (non-Hub),,Personal account claims the speaker fortuitously found themselves in Crimea on 11 March during its 'liberation'.,video/audio transcript
2025-08-07,Q3-2025,Операция Z: Военкоры Русской Весны,Luhansk (LPR),Coercion Resistance and Security,,Reports FSB claims detaining Svatove resident for allegedly transmitting military data to Ukraine.,video/audio transcript
2025-08-07,Q3-2025,Операция Z: Военкоры Русской Весны,Zaporizhzhia,Civilian Life,,Unknown content insufficient for summary.,video/audio transcript
2025-08-07,Q3-2025,Операция Z: Военкоры Русской Весны,Zaporizhzhia,,,Features dialogue about trip to Zaporizhzhia oblast questioning someone's official role.,video/audio transcript
2025-08-07,Q3-2025,Открытый эфир. Ток-шоу,Donetsk (DPR),,,An adviser to the DPR head reports information.,video/audio transcript
2025-08-07,Q3-2025,Пригожин 2023,Luhansk (LPR),,strikes on military targets,"Claims artillery destroyed Ukrainian positions, command posts and drone launch sites in Luhansk.",text post
2025-08-07,Q3-2025,Пригожин 2023,Luhansk (LPR),Coercion Resistance and Security,,Says FSB detained resident from Svatoye district for transmitting Russian military information to Kyiv.,video/audio transcript
2025-08-07,Q3-2025,Р И А 8 Z 💤,Crimea/Sevastopol,,,Commentary on Sevastopol evening cooling temperature and start of musical and dance entertainment.,text post
2025-08-07,Q3-2025,Р И А 8 Z 💤,Crimea/Sevastopol,Education and Militarisation,,Conversational comment about performance infrastructure in northern Sevastopol settlements.,video/audio transcript
2025-08-07,Q3-2025,Радио Sputnik,Crimea/Sevastopol,,,Questions whether Crimea holds equivalent importance to China compared to Taiwan.,video/audio transcript
2025-08-07,Q3-2025,Радио Sputnik,Crimea/Sevastopol,Information Space,,Alleges Western narratives portray Crimea as unsafe to discourage tourism.,video/audio transcript
2025-08-07,Q3-2025,СИЛА В ПРАВДЕ ZОV ☑,Crimea/Sevastopol,,,Trivial conversational exchange mentioning Sevastopol and Odesa region.,video/audio transcript
2025-08-07,Q3-2025,СОЛОВЬЁВ,,Civilian Life,,"Cultural administrator reports touring performance groups visiting hospitals, barracks, and annexed regions with entertainment.",video/audio transcript
2025-08-07,Q3-2025,СОЛОВЬЁВ,Crimea/Sevastopol,,,Report announces eleven passenger trains serving Crimea are delayed without initially disclosed reasons.,text post
2025-08-07,Q3-2025,СОЛОВЬЁВ,Luhansk (LPR),,evacuation,Reports interview on terrain differences between Luhansk and Kursk regions affecting combat tactics.,video/audio transcript
2025-08-07,Q3-2025,СОЛОВЬЁВ,Crimea/Sevastopol,Education and Militarisation,,Reports Ukrainian Storm Shadow missile strikes claimed; air raid alerts; all-clear declared.,text post
2025-08-07,Q3-2025,Сегодня,Zaporizhzhia,Coercion Resistance and Security,collaborator security,Unknown content insufficient for summary.,video/audio transcript
2025-08-07,Q3-2025,Сербский Дивергент,Crimea/Sevastopol,,,Reports alleged Storm Shadow missile attack on Sevastopol.,text post
2025-08-07,Q3-2025,Сладков +,Crimea/Sevastopol,,,Conversational comment identifying Sevastopol as person's origin.,video/audio transcript
2025-08-07,Q3-2025,Соловьёв LIVE,Zaporizhzhia,Economics;Civilian Life,electricity and power;evacuation;strikes on military targets,Reports catastrophic forest fires in southern France with massive area destroyed; discusses government aid spending questions.,video/audio transcript
2025-08-07,Q3-2025,Соловьёв LIVE,Zaporizhzhia,Economics;Civilian Life,electricity and power;evacuation;strikes on military targets,Reports devastating forest fires in southern France destroying vineyards; discusses autumn weather and volcanic activity in Indonesia.,video/audio transcript
2025-08-07,Q3-2025,Соловьёв LIVE,Zaporizhzhia,Economics;Civilian Life,electricity and power;evacuation;strikes on military targets,Reports catastrophic forest fires in southern France destroying vineyards; discusses autumn weather and volcanic activity.,video/audio transcript
2025-08-07,Q3-2025,Соловьёв LIVE,Zaporizhzhia,Economics;Civilian Life,electricity and power;evacuation;strikes on military targets,Weather forecast reporting with meteorological updates and regional conditions.,video/audio transcript
2025-08-07,Q3-2025,ТалипоV 𝐎𝐧𝐥𝐢𝐧𝐞 🅉,Crimea/Sevastopol,,,Brief greeting from correspondent in Crimea region.,video/audio transcript
2025-08-07,Q3-2025,Телеканал 360,Crimea/Sevastopol,,,Mention of Sevastopol in conversation; limited context from fragment.,video/audio transcript
2025-08-07,Q3-2025,Телеканал «Миллет»,Crimea/Sevastopol,,,Notes missing Crimea.,video/audio transcript
2025-08-07,Q3-2025,Украина.ру,Zaporizhzhia,Education and Militarisation,,Unknown content insufficient for summary.,video/audio transcript
2025-08-07,Q3-2025,Херсонский Вестник,Kherson,Accountability and Legal,strikes on civilians,Reports Russian Investigation Committee will investigate claimed crimes by UAV forces against civilians in Kherson oblast.,text post
2025-08-07,Q3-2025,Херсонский Вестник,Kherson,,,Reports on military recruitment office conditions in Kharkiv region.,video/audio transcript
2025-08-07,Q3-2025,Часовой погоды | Ставка | Тишковец Евгений,Zaporizhzhia,Economics;Civilian Life,electricity and power;evacuation;strikes on military targets,Reports catastrophic forest fires in southern France exceeding Paris area size; discusses autumn weather and Russian volcanic activity.,video/audio transcript
2025-08-07,Q3-2025,ЮГ LIVE💤,Luhansk (LPR),Coercion Resistance and Security,,Reports resident of Svatoye district detained for passing Russian military data to Kyiv intelligence.,video/audio transcript
2025-08-07,Q3-2025,"🇷🇺⚡️Сводки ополчения Новороссии Z.O.V. (ДНР, ЛНР, Украина, Война)",Luhansk (LPR),Coercion Resistance and Security,,Reports LNR detained resident of Svatove district for allegedly transmitting Russian military data to Kyiv intelligence.,text post
2025-08-07,Q3-2025,"🇷🇺⚡️Сводки ополчения Новороссии Z.O.V. (ДНР, ЛНР, Украина, Война)",Donetsk (DPR),,,Channel alleges Ukrainian Forces deliberately killed civilian waving white flag in Donetsk.,text post
2025-08-08,Q3-2025,,Crimea/Sevastopol,Governance;Identity Culture and Religion,elections and referendum,Lists Crimea alongside elections and Orthodox Church as significant political factors.,video/audio transcript
2025-08-08,Q3-2025,,Crimea/Sevastopol,,,"Lighthearted post celebrates cats in Crimea, mentioning they work as officials, tour guides and bloggers on World Cat Day.",text post
2025-08-08,Q3-2025,,Luhansk (LPR),Front / SVO (non-Hub),strikes on military targets,Claims rocket launcher destroyed masked positions and enemy personnel concentrations overnight in Luhansk.,video/audio transcript
2025-08-08,Q3-2025,,Luhansk (LPR),,,Claims Bloomberg reports Moscow and Washington seek ceasefire with annexed regions fully incorporated into Russia.,text post
2025-08-08,Q3-2025,,Crimea/Sevastopol,Education and Militarisation,,Reports Sevastopol students won gold at international mental arithmetic olympiad in Saint Petersburg.,video/audio transcript
2025-08-08,Q3-2025,,Crimea/Sevastopol,,,Reports new eco-hotel opening in Sevastopol demonstrating sustainable human-nature coexistence.,video/audio transcript
2025-08-08,Q3-2025,,Crimea/Sevastopol,Civilian Life,reconstruction,"Reports fire in Sevastopol involving buildings and vehicles, covering approximately 150 square metres with no casualties.",text post
2025-08-08,Q3-2025,,Crimea/Sevastopol,,,Reports two-truck accident on Tavrida highway from Simferopol to Sevastopol with vehicle involvement and traffic obstruction.,text post
2025-08-08,Q3-2025,,Crimea/Sevastopol,,,Reports Svarog shop fire in Sevastopol with explosion heard; public asked to report details.,text post
2025-08-08,Q3-2025,,Zaporizhzhia,Economics;Civilian Life;Accountability and Legal,electricity and power;evacuation;reconstruction,Reports severe flooding in southern China with mass casualties and evacuations; discusses regional weather systems.,video/audio transcript
2025-08-08,Q3-2025,,Zaporizhzhia,Front / SVO (non-Hub),strikes on military targets,Claims Russian gun crew destroyed Ukrainian drone operator bunker in Zaporizhzhia oblast.,text post
2025-08-08,Q3-2025,,Kherson,,,"Says Ukrainian leadership should negotiate; notes territorial losses in Kherson, Zaporizhzhia, Luhansk.",video/audio transcript
2025-08-08,Q3-2025,,Kherson,Front / SVO (non-Hub),strikes on military targets,Claims Russian 152-mm Msta-B howitzer destroyed Ukrainian armoured vehicle with personnel on Dnipro right bank.,video/audio transcript
2025-08-08,Q3-2025,,Kherson,Civilian Life,,Claims Russian Airborne FPV drones destroyed Ukrainian vehicle transport and temporary positions on Dnipro right bank.,text post
2025-08-08,Q3-2025,60 минут,Kherson;Zaporizhzhia,Economics,,Claims Russia may freeze conflict in Zaporizhzhia and Kherson in exchange for Ukrainian withdrawal from Donbas.,video/audio transcript
2025-08-08,Q3-2025,Alex Parker Returns,Kherson;Luhansk (LPR);Zaporizhzhia,,,Cites Bloomberg report Russia may halt offensives along current lines in exchange for Ukrainian withdrawal.,text post
2025-08-08,Q3-2025,Astra Militarum [Z],Luhansk (LPR),Economics,,Reflects on broken 2022 promises of swift victory; expresses doubt about current strategies.,text post
2025-08-08,Q3-2025,Colonelcassad,,Coercion Resistance and Security;Front / SVO (non-Hub),,Bloomberg claims Washington-Moscow seek settlement consolidating Russian control of captured territories.,text post
2025-08-08,Q3-2025,Colonelcassad,Zaporizhzhia,Accountability and Legal;Front / SVO (non-Hub),,Chronicles Russian missile and drone strikes across Zaporizhzhia and eight other Ukrainian oblasts over two days.,text post
2025-08-08,Q3-2025,Donrf,Zaporizhzhia,Front / SVO (non-Hub),,Describes military operations status; reports Russian tactical positioning and claimed territorial control objectives.,video/audio transcript
2025-08-08,Q3-2025,Donrf,Donetsk (DPR),Accountability and Legal,,Mentions Donetsk verdict regarding territorial freeze; lacks substantive detail.,video/audio transcript
2025-08-08,Q3-2025,Donrf,Kherson;Zaporizhzhia,Information Space,,Reports discussion of ceasefire terms regarding Zaporizhzhia and Kherson along current frontlines.,video/audio transcript
2025-08-08,Q3-2025,FRONTовые Zаметки,Kherson,,strikes on military targets,Claims Russian FPV drone destroyed pickup truck with Ukrainian soldiers on Dnipro right bank in Kherson oblast.,text post
2025-08-08,Q3-2025,Inside 🅉 Donetsk,Donetsk (DPR),Front / SVO (non-Hub),strikes on military targets,Russian Defence Ministry reports that Su-34 fighter-bombers struck a Ukrainian temporary deployment site in Donetsk.,text post
2025-08-08,Q3-2025,UKR LEAKS,Kherson;Zaporizhzhia,,,Reports Bloomberg citing sources claiming Russia might halt offensive in Kherson and Zaporizhzhia along current lines.,text post
2025-08-08,Q3-2025,Абзац,Crimea/Sevastopol,,,Reports on a resort in Crimea and the presentation of a new sports team in Yalta.,text post
2025-08-08,Q3-2025,Большая игра,Crimea/Sevastopol,,,References Sevastopol in unnamed discussion context.,video/audio transcript
2025-08-08,Q3-2025,Большая игра,Kherson;Zaporizhzhia,,,"Commentator reviews recent missile and artillery strikes across Donbas, Sumy, Kharkiv, Zaporizhzhia and Kherson regions.",video/audio transcript
2025-08-08,Q3-2025,Большая игра,Kherson,,,Reports chronicle of Russian strikes across Ukraine including Kherson region during 7-8 August period.,video/audio transcript
2025-08-08,Q3-2025,Вести в 20:00,Zaporizhzhia,Civilian Life,,Unknown content insufficient for summary.,video/audio transcript
2025-08-08,Q3-2025,Вести в 20:00,Luhansk (LPR),Economics;Civilian Life;Education and Militarisation,reconstruction,"Channel contrasts Russian economic reconstruction with Ukrainian governance, highlighting new School 17 in Severodonetsk.",video/audio transcript
2025-08-08,Q3-2025,Военкор Котенок,Zaporizhzhia,,,Claims Ukrainian drone strikes on Russian targets.,video/audio transcript
2025-08-08,Q3-2025,Время покажет,Kherson;Luhansk (LPR);Zaporizhzhia,Accountability and Legal,,Analysis suggests peace negotiations might involve territorial exchanges within Russian-claimed constitutional boundaries.,video/audio transcript
2025-08-08,Q3-2025,Донбасс решает,Donetsk (DPR),,,Russian engineer reports Ukrainian drone that failed to detonate on military vehicle near Avdiivka.,text post
2025-08-08,Q3-2025,Донбасс решает,Donetsk (DPR),Front / SVO (non-Hub),,Reports Russian strikes on Ukrainian brigade base near Konstantinovka using FAB-3000 bombs.,text post
2025-08-08,Q3-2025,Донбасс решает,Kherson,Front / SVO (non-Hub),,Reports Russian drone operators destroyed Ukrainian vehicles and personnel across multiple front directions.,text post
2025-08-08,Q3-2025,ЖИВОВ Z 🇷🇺,,Coercion Resistance and Security;Front / SVO (non-Hub),,"Bloomberg reports alleged US-Russia negotiations on territorial agreements, suggests freezing frontlines at current Russian positions.",text post
2025-08-08,Q3-2025,Канал Рихарда Вагнера / Wagner Group,Luhansk (LPR),Coercion Resistance and Security,,Claims US and Russia discussing ceasefire agreement that would freeze Russia's control of Crimea and Donbas.,text post
2025-08-08,Q3-2025,Караульный Z,,Governance;Civilian Life;Education and Militarisation,reconstruction;strikes on civilians,Moscow politician reports delivering humanitarian aid to annexed regions while discussing local transport infrastructure improvements.,video/audio transcript
2025-08-08,Q3-2025,Крым 24 | Новости Крыма и Севастополя,Crimea/Sevastopol,,,Notes Crimea has rich archaeological sites and cites archaeological work opportunities.,video/audio transcript
2025-08-08,Q3-2025,Крым 24 | Новости Крыма и Севастополя,Crimea/Sevastopol,,,Trivial comment expressing wishes that sweet cherries grew in Crimea as abundantly as ragweed.,video/audio transcript
2025-08-08,Q3-2025,Крым 24 | Новости Крыма и Севастополя,Crimea/Sevastopol,,,Asks what benefits an island could provide to Sevastopol.,video/audio transcript
2025-08-08,Q3-2025,МАРДАН,,Information Space;Front / SVO (non-Hub),,Comments on Bloomberg reports of proposed ceasefire along front lines while Russia retains captured territories.,text post
2025-08-08,Q3-2025,МАРИУПОЛЬ 24,Donetsk (DPR),,,Reports documentary explores psychological impact of 2022 combat on Mariupol children.,video/audio transcript
2025-08-08,Q3-2025,МАРИУПОЛЬ 24,Donetsk (DPR),Governance;Coercion Resistance and Security,reconstruction;water,Reports city council deputy confirms large-scale water infrastructure reconstruction underway in Mariupol.,video/audio transcript
2025-08-08,Q3-2025,МИГ России,Luhansk (LPR),Coercion Resistance and Security;Front / SVO (non-Hub),,Bloomberg reports Washington-Moscow settlement negotiations retaining all Russian-held territories.,text post
2025-08-08,Q3-2025,МИГ России,Kherson,Coercion Resistance and Security,,Reports Russia may freeze offensive along current lines in Kherson and Zaporizhzhia under deal.,text post
2025-08-08,Q3-2025,Мадуро - не дура,Zaporizhzhia,,strikes on military targets,"Channel reports Russian forces detected and destroyed Ukrainian drone control point near Olhivske, Zaporizhzhia region.",text post
2025-08-08,Q3-2025,НОВОСТИ ЛНР,Luhansk (LPR),Economics,,Broadcasts discussion on state support programmes for businesses in LNR.,video/audio transcript
2025-08-08,Q3-2025,НОВОСТИ ЛНР,Luhansk (LPR),Economics;Civilian Life;Identity Culture and Religion,reconstruction,Reports sports infrastructure restoration progress improving recreational access for residents.,video/audio transcript
2025-08-08,Q3-2025,Николай Стариков,Crimea/Sevastopol,Front / SVO (non-Hub),,Argues Russia controls Crimea and Ukraine allegedly had prior agreement not to resist.,video/audio transcript
2025-08-08,Q3-2025,Николай Стариков,Kherson,,,Claims Ukrainian territorial losses including Kherson and Zaporizhzhia; calls for negotiated settlement.,video/audio transcript
2025-08-08,Q3-2025,РОДИОН_МИРОШНИК,Luhansk (LPR),Governance,,Diplomat alleges Ukrainian forces conduct targeted drone hunts against civilian populations in border areas.,video/audio transcript
2025-08-08,Q3-2025,РОДИОН_МИРОШНИК,Kherson,,,Reports charitable foundation organises support initiative for unspecified cause.,text post
2025-08-08,Q3-2025,Радио Sputnik,Crimea/Sevastopol,Economics;Civilian Life,,Radio report notes a cheburek sandwich costs 250 roubles on Crimean beaches.,video/audio transcript
2025-08-08,Q3-2025,СИГНАЛ,Kherson,,,Says Russia may freeze Kherson and Zaporizhzhia fronts along current lines under possible US-Ukraine accord.,text post
2025-08-08,Q3-2025,СОЛДАТ УДАЧИ,Kherson,Coercion Resistance and Security,,Reports Russia may freeze Kherson and Zaporizhzhia fronts along current lines under US-Russia deal.,text post
2025-08-08,Q3-2025,Соловьёв LIVE,Zaporizhzhia,Economics;Civilian Life;Accountability and Legal,electricity and power;evacuation;reconstruction,Reports extreme flooding in southern China with mass casualties and evacuations; discusses typhoon impacts across Asian region.,video/audio transcript
2025-08-08,Q3-2025,ТалипоV 𝐎𝐧𝐥𝐢𝐧𝐞 🅉,Donetsk (DPR),,,Channel discusses water infrastructure development despite resource limitations under DPR.,video/audio transcript
2025-08-08,Q3-2025,ТалипоV 𝐎𝐧𝐥𝐢𝐧𝐞 🅉,Crimea/Sevastopol,Governance;Economics,,States Ukraine lacked named major cities at Soviet formation; proposes 1991 border negotiations.,text post
2025-08-08,Q3-2025,Телеканал «6ТВ»,Donetsk (DPR),Governance,,DNR People's Council deputy attends comprehensive issue review meeting.,video/audio transcript
2025-08-08,Q3-2025,Телеканал «Миллет»,Crimea/Sevastopol,,reconstruction,"Report on mosque construction progress in Crimea, crediting sponsors and local communities across the peninsula.",video/audio transcript
2025-08-08,Q3-2025,Телеканал «Миллет»,Crimea/Sevastopol,Education and Militarisation,reconstruction,Reports school construction in Sevastopol conducted under state programme for Crimea development.,video/audio transcript
2025-08-08,Q3-2025,ФРИДРИХ 🎭,,Governance;Civilian Life;Education and Militarisation,,Claims 12-year-old Kasyrov appointed curator of humanitarian assistance for Gaza.,video/audio transcript
2025-08-08,Q3-2025,Фронтовая птичка,Kherson,,,Reports Russian reconnaissance drone eliminated Ukrainian soldiers in Kherson region.,text post
2025-08-08,Q3-2025,Часовой погоды | Ставка | Тишковец Евгений,Crimea/Sevastopol,,,Reports heat wave to continue in Crimea over weekend; temperatures reach 35 degrees.,video/audio transcript
2025-08-08,Q3-2025,Шейх Тамир,,Coercion Resistance and Security;Front / SVO (non-Hub),,Bloomberg reports Washington and Moscow negotiating Ukraine agreement retaining Russian-held territories.,text post
2025-08-08,Q3-2025,ЮГ LIVE💤,Kherson,Coercion Resistance and Security,,Claims Russia may freeze offensive along current lines in Kherson and Zaporizhzhia under possible US accord.,text post
2025-08-08,Q3-2025,🇷🇺Движение Сорок Сороков (ZOV)🕊,,Civilian Life;Identity Culture and Religion;Accountability and Legal;Front / SVO (non-Hub),,"Discussion of terminology for Ukrainian military opponents, debates use of derogatory terms on Russian fronts.",video/audio transcript
2025-08-08,Q3-2025,"🇷🇺⚡️Сводки ополчения Новороссии Z.O.V. (ДНР, ЛНР, Украина, Война)",Luhansk (LPR),Governance,,"Claims Ukrainian forces deliberately target Luhansk civilians with drones, according to Russian diplomatic envoy.",video/audio transcript
2025-08-08,Q3-2025,"🇷🇺⚡️Сводки ополчения Новороссии Z.O.V. (ДНР, ЛНР, Украина, Война)",Donetsk (DPR),Governance;Economics;Civilian Life;Front / SVO (non-Hub),reconstruction;water,DPR head claims full water provision requires capturing Slavyansk and canal restoration.,video/audio transcript
2025-08-09,Q3-2025,,Luhansk (LPR),,strikes on military targets,"Claims towed howitzers destroyed masked positions, command posts and drone launch sites in Luhansk.",video/audio transcript
2025-08-09,Q3-2025,,Donetsk (DPR),Front / SVO (non-Hub),,Russian Forces claim capture of Yablonovka in Donetsk per Defence Ministry statement.,text post
2025-08-09,Q3-2025,,Crimea/Sevastopol,,,"Reports car fire on Tavrida highway toward Sevastopol; traffic congestion, investigation ongoing.",text post
2025-08-09,Q3-2025,,Crimea/Sevastopol,Front / SVO (non-Hub),,Historical account of three German assaults on Sevastopol during World War II; defensive operations supported by Soviet forces.,video/audio transcript
2025-08-09,Q3-2025,,Kherson;Zaporizhzhia,,,Channel reports Trump envoy Whitcroft misunderstood Putin regarding withdrawal from Zaporizhzhia and Kherson regions.,text post
2025-08-09,Q3-2025,,Kherson,Front / SVO (non-Hub),,Notes Zelenskyy stated unwillingness to withdraw forces from Donbas or halt conflict along contact lines in annexed regions.,text post
2025-08-09,Q3-2025,,Kherson,Economics;Front / SVO (non-Hub),,"States Russian forces aim to cross Dnieper, expand Kherson control, and establish buffer zone by end 2025.",video/audio transcript
2025-08-09,Q3-2025,,Kherson,,,"Zelenskyy quote asserting Ukraine will not permit division of territory including Kherson, Zaporizhzhia, Donbas, Crimea.",text post
2025-08-09,Q3-2025,#МОНТЯН!,Zaporizhzhia,Civilian Life;Accountability and Legal,reconstruction,Discusses negotiating positions on Odessa port and territorial arrangements.,text post
2025-08-09,Q3-2025,DeZa | ДНР,Donetsk (DPR);Luhansk (LPR),Governance;Civilian Life,,Reports new bus routes established connecting Donbas to Crimea resorts through annexed regions.,text post
2025-08-09,Q3-2025,Donrf,Zaporizhzhia,,,Discusses Donbas as strategic battlefield and Western military involvement.,text post
2025-08-09,Q3-2025,Donrf,Zaporizhzhia,,,Questions the strategic value of Energodar for Ukrainian armed forces.,video/audio transcript
2025-08-09,Q3-2025,Donrf,Crimea/Sevastopol,,,Comments ironically on proposed Crimea-for-destroyed Donbas exchange.,text post
2025-08-09,Q3-2025,Donrf,Donetsk (DPR),Front / SVO (non-Hub),,"Reports Russian forces captured Yablonovka in Donetsk, per Defence Ministry announcement.",text post
2025-08-09,Q3-2025,UKR LEAKS,Donetsk (DPR),Front / SVO (non-Hub),,Russian Forces claim capture of Yablonovka in Donetsk according to Defence Ministry statement.,text post
2025-08-09,Q3-2025,VZВОД,Zaporizhzhia,Accountability and Legal;Front / SVO (non-Hub),,Reports Russian air strikes across multiple Ukrainian oblasts from 8-9 August 2025 with detailed strike information and timing.,text post
2025-08-09,Q3-2025,VZВОД,Kherson,Governance;Front / SVO (non-Hub),reconstruction,Reports Kherson oblast governor states main supports of destroyed Antonovskii bridge over Dnipro remain intact for potential reconstruction.,video/audio transcript
2025-08-09,Q3-2025,Verum Regnum|Наш Regnum,,Economics;Civilian Life;Coercion Resistance and Security;Accountability and Legal;Front / SVO (non-Hub),collaborator security;reconstruction,"Criticises Trump's meeting location in Alaska, arguing Russia cannot cede captured territories under any circumstances.",video/audio transcript
2025-08-09,Q3-2025,Блокнот Россия 18+,Kherson;Zaporizhzhia,,,Reports Ukraine potentially agrees to cede Donbas in exchange for Russian withdrawal from Kherson and Zaporizhzhia.,text post
2025-08-09,Q3-2025,Вести в 20:00,Donetsk (DPR),Front / SVO (non-Hub),,Reports 20-year veteran soldier captured during Russian seizure of Mariupol city.,video/audio transcript
2025-08-09,Q3-2025,Военный обозреватель,Zaporizhzhia,,,Reports Ukrainian Su-27 fighter shot down over Zaporizhzhia oblast.,text post
2025-08-09,Q3-2025,Донбасс Сегодня,Zaporizhzhia,Accountability and Legal,,Unknown content insufficient for summary.,video/audio transcript
2025-08-09,Q3-2025,Донбасс решает,Donetsk (DPR),Front / SVO (non-Hub),,Sappers claim extraction of hundreds of unexploded ordnance per square kilometre from liberated Donetsk territory.,video/audio transcript
2025-08-09,Q3-2025,Донбасс решает,Donetsk (DPR),,strikes on military targets,Russia claims drone strike destroyed modified Ukrainian infantry fighting vehicle with upgraded weapons system.,text post
2025-08-09,Q3-2025,Донбасс решает,Donetsk (DPR),Front / SVO (non-Hub),,Reports Russian strikes destroyed Ukrainian base temporary locations near Konstantinovka and Fedorovka.,text post
2025-08-09,Q3-2025,Донбасс решает,Donetsk (DPR),,,Claims Russian drone strikes disrupt Ukrainian troop rotations on Konstantinovka and Seversk directions.,text post
2025-08-09,Q3-2025,ИЗОЛЕНТА live,Crimea/Sevastopol,,,Compares vacation costs in Crimea with Maldives travel; notes Crimea marginally cheaper.,video/audio transcript
